date,Credit Spread High Yield Change 21D
1996-12-31,
1997-01-01,
1997-01-02,
1997-01-03,
1997-01-06,
1997-01-07,
1997-01-08,
1997-01-09,
1997-01-10,
1997-01-13,
1997-01-14,
1997-01-15,
1997-01-16,
1997-01-17,
1997-01-20,
1997-01-21,
1997-01-22,
1997-01-23,
1997-01-24,
1997-01-27,
1997-01-28,
1997-01-29,-0.060702875399361034
1997-01-30,-0.051118210862619695
1997-01-31,-0.006535947712418277
1997-02-03,-0.003236245954692518
1997-02-04,-0.006451612903225823
1997-02-05,-0.016129032258064613
1997-02-06,-0.013029315960912058
1997-02-07,-0.022364217252396124
1997-02-10,-0.03797468354430378
1997-02-11,-0.00328947368421062
1997-02-12,-0.02588996763754048
1997-02-13,-0.009771986970683932
1997-02-14,0.009933774834437026
1997-02-17,0.0032894736842103978
1997-02-18,-0.0066006600660065695
1997-02-19,-0.022950819672131084
1997-02-20,-0.03344481605351168
1997-02-21,-0.026936026936026924
1997-02-24,-0.030612244897959107
1997-02-25,-0.024137931034482696
1997-02-26,-0.07191780821917804
1997-02-27,-0.07823129251700678
1997-02-28,-0.08080808080808088
1997-03-03,-0.10855263157894735
1997-03-04,-0.1331168831168832
1997-03-05,-0.1201298701298702
1997-03-06,-0.11475409836065564
1997-03-07,-0.09570957095709554
1997-03-10,-0.10457516339869277
1997-03-11,-0.10526315789473684
1997-03-12,-0.11221122112211213
1997-03-13,-0.1295681063122922
1997-03-14,-0.125
1997-03-17,-0.12786885245901625
1997-03-18,-0.12459016393442623
1997-03-19,-0.1129568106312292
1997-03-20,-0.10067114093959728
1997-03-21,-0.06920415224913501
1997-03-24,-0.06228373702422152
1997-03-25,-0.056140350877193046
1997-03-26,-0.042402826855123754
1997-03-27,-0.014760147601476037
1997-03-28,-0.014760147601476037
1997-03-31,0.04029304029304015
1997-04-01,0.07011070110701101
1997-04-02,0.101123595505618
1997-04-03,0.08856088560885622
1997-04-04,0.08148148148148149
1997-04-07,0.07664233576642343
1997-04-08,0.06934306569343063
1997-04-09,0.06985294117647056
1997-04-10,0.08550185873605942
