date,SPX Realized Volatility 21D
1996-01-02,
1996-01-03,
1996-01-04,
1996-01-05,
1996-01-08,
1996-01-09,
1996-01-10,
1996-01-11,
1996-01-12,
1996-01-15,
1996-01-16,
1996-01-17,
1996-01-18,
1996-01-19,
1996-01-22,
1996-01-23,
1996-01-24,
1996-01-25,
1996-01-26,
1996-01-29,
1996-01-30,
1996-01-31,0.12785408027021242
1996-02-01,0.12818340703312117
1996-02-02,0.12710422396525745
1996-02-05,0.1290904464689111
1996-02-06,0.13059072412956654
1996-02-07,0.1158161499195099
1996-02-08,0.08824453326231523
1996-02-09,0.08869756286855567
1996-02-12,0.08717719107411392
1996-02-13,0.08526816828852048
1996-02-14,0.08743729525998431
1996-02-15,0.09114413625474002
1996-02-16,0.09584210419666601
1996-02-20,0.10729544057464561
1996-02-21,0.11210798300642735
1996-02-22,0.12097950092038208
1996-02-23,0.11763789103124966
1996-02-26,0.12773393537917727
1996-02-27,0.12894092212259434
1996-02-28,0.1301686790572177
1996-02-29,0.12983886905593614
1996-03-01,0.1276867077669606
1996-03-04,0.13132817976490616
1996-03-05,0.13196129259608658
1996-03-06,0.1314688717605662
1996-03-07,0.12930205697795796
1996-03-08,0.16842392261126585
1996-03-11,0.16911225565170782
1996-03-12,0.16940001425274817
1996-03-13,0.1667389478943604
1996-03-14,0.16775068100588678
1996-03-15,0.1664443078004221
1996-03-18,0.17674925140792708
1996-03-19,0.17583370561118827
1996-03-20,0.17107845729738735
1996-03-21,0.166511025295528
1996-03-22,0.1558118415463581
1996-03-25,0.1557771971439988
1996-03-26,0.14981017337828842
1996-03-27,0.15042559752316317
1996-03-28,0.1497314031265215
1996-03-29,0.14897595488413862
1996-04-01,0.15380115826240973
1996-04-02,0.15024808267789513
1996-04-03,0.14792377288496328
1996-04-04,0.14641472748001205
1996-04-08,0.1589901988087687
1996-04-09,0.11431128028514764
1996-04-10,0.11888345479450292
1996-04-11,0.11852591167871694
1996-04-12,0.12242662981153603
1996-04-15,0.12590762097081964
1996-04-16,0.126570185238672
1996-04-17,0.11146673937888414
1996-04-18,0.11225339325562153
1996-04-19,0.1124163122045975
1996-04-22,0.11353691058885057
1996-04-23,0.11505274473640548
1996-04-24,0.11527151928981029
1996-04-25,0.11510466517437416
1996-04-26,0.11287125038411475
1996-04-29,0.11289427045090548
1996-04-30,0.11099945211516186
1996-05-01,0.1020255128824497
1996-05-02,0.11787022930252451
1996-05-03,0.11784290696052523
1996-05-06,0.11778669215846009
1996-05-07,0.10158164095159888
1996-05-08,0.10738218631088473
1996-05-09,0.09490088522535899
1996-05-10,0.09865248135061044
1996-05-13,0.10548328428268634
1996-05-14,0.10345635245463604
1996-05-15,0.10333906955236831
1996-05-16,0.10080473907718272
1996-05-17,0.10185377167661475
1996-05-20,0.10303005665643764
1996-05-21,0.1030421911235789
1996-05-22,0.10473455846292593
1996-05-23,0.10553706284745791
1996-05-24,0.10542821351139099
1996-05-28,0.11226501135750237
1996-05-29,0.11544988657433647
1996-05-30,0.11648438548912203
1996-05-31,0.11781453284324005
1996-06-03,0.09823843986237732
1996-06-04,0.0985915705141189
1996-06-05,0.10015285654268545
1996-06-06,0.10441942745663013
1996-06-07,0.10084980905419887
1996-06-10,0.10164747483106547
1996-06-11,0.09770561188523197
1996-06-12,0.08643457192984284
1996-06-13,0.0842449175208952
1996-06-14,0.08499821060021127
1996-06-17,0.08502415552698658
1996-06-18,0.08350815431160911
1996-06-19,0.07978602156456943
1996-06-20,0.07986035969176888
1996-06-21,0.07816451587411481
1996-06-24,0.07856798646238337
1996-06-25,0.07706155211223596
1996-06-26,0.07330823514985346
1996-06-27,0.07367626464474562
1996-06-28,0.07176078050535173
1996-07-01,0.0752999719923211
1996-07-02,0.07594687047803014
1996-07-03,0.07202312313866936
1996-07-05,0.10009069291761705
1996-07-08,0.0996761283783688
1996-07-09,0.10090550025494571
1996-07-10,0.10154590809122316
1996-07-11,0.11379486065685532
1996-07-12,0.11408210486534635
1996-07-15,0.1412386423900289
1996-07-16,0.14124531591038314
1996-07-17,0.14698036743310874
1996-07-18,0.15812007748118226
1996-07-19,0.15947722883839885
1996-07-22,0.16067496569449097
1996-07-23,0.15981315891652595
1996-07-24,0.15865564971701582
1996-07-25,0.1624438213447505
1996-07-26,0.1656570123320056
1996-07-29,0.1639240897941109
1996-07-30,0.16612552237394465
1996-07-31,0.16578409009519762
1996-08-01,0.17731646715516317
1996-08-02,0.1912598119634037
1996-08-05,0.17455736901600502
1996-08-06,0.1725532809039871
1996-08-07,0.17243427218107416
1996-08-08,0.17267638300411342
1996-08-09,0.162151311832927
