Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2005-11-18,F (Jan 06),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2006-01-18
2005-11-21,F (Jan 06),0.0,0.0,0.0,0.0,134.5,134.5,0,0,0,2006-01-18
2005-11-22,F (Jan 06),132.8,132.8,132.8,132.8,131.9,-2.6,10,0,10,2006-01-18
2005-11-23,F (Jan 06),0.0,0.0,0.0,0.0,131.3,-0.6,0,0,10,2006-01-18
2005-11-25,F (Jan 06),0.0,0.0,0.0,0.0,131.1,-0.2,0,0,10,2006-01-18
2005-11-28,F (Jan 06),132.6,133.6,132.6,133.6,133.1,2.0,6,0,14,2006-01-18
2005-11-29,F (Jan 06),132.9,132.9,132.9,132.9,132.1,-1.0,5,0,19,2006-01-18
2005-11-30,F (Jan 06),132.4,132.4,132.4,132.4,132.2,0.1,5,0,24,2006-01-18
2005-12-01,F (Jan 06),130.7,130.7,130.7,130.7,131.1,-1.1,1,0,24,2006-01-18
2005-12-02,F (Jan 06),130.3,130.3,130.3,130.3,130.4,-0.7,5,0,29,2006-01-18
2005-12-05,F (Jan 06),0.0,0.0,0.0,0.0,130.2,-0.2,0,0,29,2006-01-18
2005-12-06,F (Jan 06),129.2,130.0,129.0,130.0,130.2,0.0,15,0,35,2006-01-18
2005-12-07,F (Jan 06),129.0,129.0,129.0,129.0,129.4,-0.8,5,0,40,2006-01-18
2005-12-08,F (Jan 06),127.9,129.7,127.9,129.7,129.2,-0.2,2,0,41,2006-01-18
2005-12-09,F (Jan 06),127.4,127.4,127.4,127.4,128.6,-0.6,1,0,41,2006-01-18
2005-12-12,F (Jan 06),129.2,129.6,129.0,129.6,129.0,0.4,18,0,55,2006-01-18
2005-12-13,F (Jan 06),129.7,130.7,128.9,129.0,129.2,0.2,18,0,71,2006-01-18
2005-12-14,F (Jan 06),128.9,129.1,128.9,129.0,128.1,-1.1,16,0,80,2006-01-18
2005-12-15,F (Jan 06),128.3,128.3,128.1,128.1,127.8,-0.3,10,0,90,2006-01-18
2005-12-16,F (Jan 06),128.8,129.9,128.3,129.9,129.3,1.5,29,0,99,2006-01-18
2005-12-19,F (Jan 06),129.4,129.4,127.6,129.3,128.8,-0.5,88,0,136,2006-01-18
2005-12-20,F (Jan 06),128.25,129.1,126.8,126.8,127.6,-1.2,171,0,280,2006-01-18
2005-12-21,F (Jan 06),127.0,127.0,126.2,126.3,125.9,-1.7,103,0,347,2006-01-18
2005-12-22,F (Jan 06),125.5,125.5,125.0,125.0,124.8,-1.1,57,0,392,2006-01-18
2005-12-23,F (Jan 06),124.5,124.5,121.2,121.2,122.1,-2.7,70,0,416,2006-01-18
2005-12-27,F (Jan 06),121.2,125.0,121.2,123.5,124.5,2.4,54,0,432,2006-01-18
2005-12-28,F (Jan 06),124.3,124.3,122.6,123.5,123.2,-1.3,22,0,487,2006-01-18
2005-12-29,F (Jan 06),123.4,123.4,123.0,123.0,123.2,0.0,46,0,506,2006-01-18
2005-12-30,F (Jan 06),124.2,124.9,124.2,124.9,124.5,1.3,15,0,514,2006-01-18
2006-01-03,F (Jan 06),123.4,124.6,120.3,120.3,120.2,-4.3,125,0,452,2006-01-18
2006-01-04,F (Jan 06),119.9,119.9,117.0,118.2,118.4,-1.8,132,0,590,2006-01-18
2006-01-05,F (Jan 06),118.3,118.3,118.0,118.0,118.3,-0.1,25,0,582,2006-01-18
2006-01-06,F (Jan 06),117.8,117.8,114.5,115.5,115.6,-2.7,43,0,572,2006-01-18
2006-01-09,F (Jan 06),114.4,114.4,113.0,113.5,113.3,-2.3,120,0,656,2006-01-18
2006-01-10,F (Jan 06),113.3,113.7,112.5,112.5,112.2,-1.1,16,0,610,2006-01-18
2006-01-11,F (Jan 06),113.0,113.0,112.5,112.5,111.9,-0.3,19,0,592,2006-01-18
2006-01-12,F (Jan 06),113.3,113.7,112.7,113.5,113.0,1.1,463,0,1043,2006-01-18
2006-01-13,F (Jan 06),113.0,114.1,113.0,113.5,113.2,0.2,148,0,1024,2006-01-18
2006-01-17,F (Jan 06),117.0,117.7,116.8,116.8,117.1,3.9,220,0,1010,2006-01-18
2006-01-18,F (Jan 06),0.0,0.0,0.0,0.0,126.15,9.05,0,0,831,2006-01-18
