Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2010-06-09,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-10,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-11,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-14,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-15,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-16,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-17,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-18,G (Feb 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-02-16
2010-06-21,G (Feb 11),0.0,0.0,0.0,0.0,29.25,29.25,0,0,0,2011-02-16
2010-06-22,G (Feb 11),29.25,29.8,29.25,29.8,29.85,0.6,7,0,7,2011-02-16
2010-06-23,G (Feb 11),29.75,30.1,29.73,30.1,30.05,0.2,72,0,70,2011-02-16
2010-06-24,G (Feb 11),30.25,30.9,30.25,30.85,30.85,0.8,32,0,78,2011-02-16
2010-06-25,G (Feb 11),30.9,31.0,30.9,30.9,30.95,0.1,21,0,67,2011-02-16
2010-06-28,G (Feb 11),30.9,31.55,30.9,31.55,31.6,0.65,51,0,98,2011-02-16
2010-06-29,G (Feb 11),32.0,33.8,32.0,33.8,33.8,2.2,106,0,139,2011-02-16
2010-06-30,G (Feb 11),33.88,34.35,33.5,34.35,34.35,0.55,82,0,149,2011-02-16
2010-07-01,G (Feb 11),34.4,35.25,34.35,34.83,34.85,0.5,108,0,155,2011-02-16
2010-07-02,G (Feb 11),34.45,34.8,34.2,34.75,34.8,-0.05,100,0,229,2011-02-16
2010-07-06,G (Feb 11),33.75,34.55,33.55,34.45,34.45,-0.35,46,0,251,2011-02-16
2010-07-07,G (Feb 11),34.3,34.3,33.0,33.0,33.0,-1.45,364,0,424,2011-02-16
2010-07-08,G (Feb 11),32.75,32.95,32.75,32.75,32.6,-0.4,19,0,2451,2011-02-16
2010-07-09,G (Feb 11),32.7,32.7,32.2,32.25,32.2,-0.4,38,0,437,2011-02-16
2010-07-12,G (Feb 11),32.25,32.25,32.0,32.1,32.05,-0.15,30,0,448,2011-02-16
2010-07-13,G (Feb 11),31.8,31.8,31.5,31.7,31.75,-0.3,92,0,481,2011-02-16
2010-07-14,G (Feb 11),32.0,32.3,31.95,32.2,32.2,0.45,44,0,484,2011-02-16
2010-07-15,G (Feb 11),32.2,33.0,32.2,32.55,32.65,0.45,60,0,491,2011-02-16
2010-07-16,G (Feb 11),33.0,34.0,33.0,33.95,33.9,1.25,90,0,497,2011-02-16
2010-07-19,G (Feb 11),33.85,33.95,33.6,33.8,33.8,-0.1,55,0,496,2011-02-16
2010-07-20,G (Feb 11),34.2,34.2,33.15,33.2,33.2,-0.6,111,0,525,2011-02-16
2010-07-21,G (Feb 11),33.05,33.75,32.8,33.45,33.5,0.3,51,0,527,2011-02-16
2010-07-22,G (Feb 11),33.2,33.2,32.55,32.55,32.75,-0.75,116,0,555,2011-02-16
2010-07-23,G (Feb 11),32.95,32.95,32.4,32.5,32.5,-0.25,71,0,557,2011-02-16
2010-07-26,G (Feb 11),32.57,32.65,31.35,31.35,31.4,-1.1,112,0,554,2011-02-16
2010-07-27,G (Feb 11),31.15,31.3,31.1,31.25,31.25,-0.15,123,0,535,2011-02-16
2010-07-28,G (Feb 11),31.45,31.45,30.95,30.95,31.0,-0.25,66,0,554,2011-02-16
2010-07-29,G (Feb 11),30.95,31.25,30.7,31.0,31.05,0.05,141,0,604,2011-02-16
2010-07-30,G (Feb 11),31.45,31.45,30.9,30.9,30.9,-0.15,64,0,626,2011-02-16
2010-08-02,G (Feb 11),30.75,30.75,29.95,30.05,30.05,-0.85,104,0,670,2011-02-16
2010-08-03,G (Feb 11),30.3,30.35,30.15,30.3,30.3,0.25,67,0,688,2011-02-16
2010-08-04,G (Feb 11),30.25,30.26,30.1,30.18,30.15,-0.15,68,0,718,2011-02-16
2010-08-05,G (Feb 11),30.6,30.6,30.27,30.3,30.4,0.25,65,0,725,2011-02-16
2010-08-06,G (Feb 11),30.75,31.2,30.5,30.5,30.55,0.15,106,0,738,2011-02-16
2010-08-09,G (Feb 11),30.45,30.75,30.4,30.45,30.45,-0.1,100,0,747,2011-02-16
2010-08-10,G (Feb 11),30.65,30.95,30.5,30.55,30.55,0.1,62,0,757,2011-02-16
2010-08-11,G (Feb 11),31.5,31.75,31.0,31.75,31.8,1.25,219,0,793,2011-02-16
2010-08-12,G (Feb 11),32.0,32.35,31.55,31.9,31.9,0.1,152,0,847,2011-02-16
2010-08-13,G (Feb 11),32.0,32.25,31.9,32.25,32.25,0.35,159,0,929,2011-02-16
2010-08-16,G (Feb 11),32.5,32.5,31.8,32.1,32.05,-0.2,278,0,1022,2011-02-16
2010-08-17,G (Feb 11),31.7,31.85,31.35,31.85,31.9,-0.15,156,0,1060,2011-02-16
2010-08-18,G (Feb 11),31.7,32.05,31.65,32.0,32.05,0.15,447,0,1136,2011-02-16
2010-08-19,G (Feb 11),32.1,32.7,31.95,32.65,32.65,0.6,189,0,1149,2011-02-16
2010-08-20,G (Feb 11),32.7,32.95,32.55,32.55,32.55,-0.1,186,0,1267,2011-02-16
2010-08-23,G (Feb 11),32.5,33.0,32.3,33.0,32.95,0.4,172,0,1192,2011-02-16
2010-08-24,G (Feb 11),33.45,33.95,33.4,33.7,33.7,0.75,207,0,1226,2011-02-16
2010-08-25,G (Feb 11),33.95,34.25,33.0,33.05,33.05,-0.65,321,0,1265,2011-02-16
2010-08-26,G (Feb 11),33.05,33.85,32.85,33.4,33.4,0.35,426,0,1294,2011-02-16
2010-08-27,G (Feb 11),33.1,33.8,32.3,32.35,32.4,-1.0,377,0,1323,2011-02-16
2010-08-30,G (Feb 11),32.55,33.1,32.4,33.1,33.15,0.75,373,0,1303,2011-02-16
2010-08-31,G (Feb 11),33.2,33.4,32.92,33.2,33.2,0.05,338,0,1384,2011-02-16
2010-09-01,G (Feb 11),32.95,32.95,32.25,32.55,32.55,-0.65,590,0,1584,2011-02-16
2010-09-02,G (Feb 11),32.55,32.55,32.2,32.35,32.4,-0.15,829,46,1980,2011-02-16
2010-09-03,G (Feb 11),32.3,32.3,31.65,31.8,31.85,-0.55,486,0,2316,2011-02-16
2010-09-07,G (Feb 11),32.15,32.25,31.9,32.2,32.2,0.35,312,0,2499,2011-02-16
2010-09-08,G (Feb 11),32.15,32.15,31.8,31.8,31.8,-0.4,503,0,2742,2011-02-16
2010-09-09,G (Feb 11),31.6,31.6,31.35,31.55,31.55,-0.25,688,0,2909,2011-02-16
2010-09-10,G (Feb 11),31.55,31.55,31.3,31.45,31.4,-0.15,395,46,3023,2011-02-16
2010-09-13,G (Feb 11),31.15,31.2,30.8,30.85,30.85,-0.55,1171,92,3751,2011-02-16
