Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2008-05-21,H (Mar 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-03-18
2008-05-22,H (Mar 09),0.0,0.0,0.0,0.0,24.0,24.0,0,0,0,2009-03-18
2008-05-23,H (Mar 09),0.0,0.0,0.0,0.0,23.69,-0.31,0,0,0,2009-03-18
2008-05-27,H (Mar 09),0.0,0.0,0.0,0.0,23.97,0.28,0,0,0,2009-03-18
2008-05-28,H (Mar 09),0.0,0.0,0.0,0.0,23.92,-0.05,0,0,0,2009-03-18
2008-05-29,H (Mar 09),0.0,0.0,0.0,0.0,23.03,-0.89,0,0,0,2009-03-18
2008-05-30,H (Mar 09),0.0,0.0,0.0,0.0,22.98,-0.05,0,0,0,2009-03-18
2008-06-02,H (Mar 09),0.0,0.0,0.0,0.0,23.11,0.13,0,0,0,2009-03-18
2008-06-03,H (Mar 09),0.0,0.0,0.0,0.0,23.68,0.57,0,0,0,2009-03-18
2008-06-04,H (Mar 09),0.0,0.0,0.0,0.0,23.95,0.27,0,0,0,2009-03-18
2008-06-05,H (Mar 09),0.0,0.0,0.0,0.0,23.39,-0.56,0,0,0,2009-03-18
2008-06-06,H (Mar 09),0.0,0.0,0.0,0.0,24.16,0.77,0,0,0,2009-03-18
2008-06-09,H (Mar 09),0.0,0.0,0.0,0.0,24.39,0.23,0,0,0,2009-03-18
2008-06-10,H (Mar 09),0.0,0.0,0.0,0.0,24.22,-0.17,0,0,0,2009-03-18
2008-06-11,H (Mar 09),0.0,0.0,0.0,0.0,24.61,0.39,0,0,0,2009-03-18
2008-06-12,H (Mar 09),0.0,0.0,0.0,0.0,24.31,-0.3,0,0,0,2009-03-18
2008-06-13,H (Mar 09),0.0,0.0,0.0,0.0,24.09,-0.22,0,0,0,2009-03-18
2008-06-16,H (Mar 09),0.0,0.0,0.0,0.0,23.6,-0.49,0,0,0,2009-03-18
2008-06-17,H (Mar 09),0.0,0.0,0.0,0.0,23.63,0.03,0,0,0,2009-03-18
2008-06-18,H (Mar 09),0.0,0.0,0.0,0.0,23.79,0.16,0,0,0,2009-03-18
2008-06-19,H (Mar 09),0.0,0.0,0.0,0.0,23.52,-0.27,0,0,0,2009-03-18
2008-06-20,H (Mar 09),0.0,0.0,0.0,0.0,23.72,0.2,0,0,0,2009-03-18
2008-06-23,H (Mar 09),0.0,0.0,0.0,0.0,23.47,-0.25,0,0,0,2009-03-18
2008-06-24,H (Mar 09),0.0,0.0,0.0,0.0,23.59,0.12,0,0,0,2009-03-18
2008-06-25,H (Mar 09),0.0,0.0,0.0,0.0,22.99,-0.6,0,0,0,2009-03-18
2008-06-26,H (Mar 09),0.0,0.0,0.0,0.0,24.74,1.75,0,0,0,2009-03-18
2008-06-27,H (Mar 09),0.0,0.0,0.0,0.0,23.97,-0.77,0,0,0,2009-03-18
2008-06-30,H (Mar 09),0.0,0.0,0.0,0.0,23.58,-0.39,0,0,0,2009-03-18
2008-07-01,H (Mar 09),0.0,0.0,0.0,0.0,23.6,0.02,0,0,0,2009-03-18
2008-07-02,H (Mar 09),0.0,0.0,0.0,0.0,24.22,0.62,0,0,0,2009-03-18
2008-07-03,H (Mar 09),0.0,0.0,0.0,0.0,23.99,-0.23,0,0,0,2009-03-18
2008-07-07,H (Mar 09),0.0,0.0,0.0,0.0,24.11,0.12,0,0,0,2009-03-18
2008-07-08,H (Mar 09),0.0,0.0,0.0,0.0,23.42,-0.69,0,0,0,2009-03-18
2008-07-09,H (Mar 09),0.0,0.0,0.0,0.0,24.06,0.64,0,0,0,2009-03-18
2008-07-10,H (Mar 09),0.0,0.0,0.0,0.0,24.14,0.08,0,0,0,2009-03-18
2008-07-11,H (Mar 09),24.63,24.63,24.63,24.63,24.22,0.08,2,0,2,2009-03-18
2008-07-14,H (Mar 09),0.0,0.0,0.0,0.0,24.47,0.25,0,0,2,2009-03-18
2008-07-15,H (Mar 09),0.0,0.0,0.0,0.0,24.34,-0.13,0,0,2,2009-03-18
2008-07-16,H (Mar 09),23.58,23.58,23.55,23.55,23.01,-1.33,25,0,27,2009-03-18
2008-07-17,H (Mar 09),0.0,0.0,0.0,0.0,22.87,-0.14,0,0,27,2009-03-18
2008-07-18,H (Mar 09),0.0,0.0,0.0,0.0,23.03,0.16,0,0,27,2009-03-18
2008-07-21,H (Mar 09),0.0,0.0,0.0,0.0,22.76,-0.27,0,0,27,2009-03-18
2008-07-22,H (Mar 09),23.02,23.02,23.02,23.02,22.4,-0.36,1,0,27,2009-03-18
2008-07-23,H (Mar 09),0.0,0.0,0.0,0.0,22.39,-0.01,0,0,27,2009-03-18
2008-07-24,H (Mar 09),0.0,0.0,0.0,0.0,23.28,0.89,0,0,27,2009-03-18
2008-07-25,H (Mar 09),0.0,0.0,0.0,0.0,23.06,-0.22,0,0,27,2009-03-18
2008-07-28,H (Mar 09),0.0,0.0,0.0,0.0,23.51,0.45,0,0,27,2009-03-18
2008-07-29,H (Mar 09),0.0,0.0,0.0,0.0,22.98,-0.53,0,0,27,2009-03-18
2008-07-30,H (Mar 09),22.41,22.41,22.41,22.41,22.59,-0.39,1,0,28,2009-03-18
2008-07-31,H (Mar 09),0.0,0.0,0.0,0.0,22.75,0.16,0,0,27,2009-03-18
2008-08-01,H (Mar 09),0.0,0.0,0.0,0.0,22.89,0.14,0,0,27,2009-03-18
2008-08-04,H (Mar 09),0.0,0.0,0.0,0.0,22.97,0.08,0,0,27,2009-03-18
2008-08-05,H (Mar 09),22.55,22.55,22.55,22.55,22.35,-0.62,10,0,37,2009-03-18
2008-08-06,H (Mar 09),0.0,0.0,0.0,0.0,22.28,-0.07,0,0,27,2009-03-18
2008-08-07,H (Mar 09),22.28,22.4,22.25,22.4,22.32,0.04,77,0,104,2009-03-18
2008-08-08,H (Mar 09),0.0,0.0,0.0,0.0,22.18,-0.14,0,0,104,2009-03-18
2008-08-11,H (Mar 09),22.22,22.22,22.09,22.1,22.38,0.2,23,0,124,2009-03-18
2008-08-12,H (Mar 09),22.28,22.28,22.25,22.25,22.62,0.24,10,0,129,2009-03-18
2008-08-13,H (Mar 09),22.65,22.7,22.65,22.7,22.9,0.28,30,0,159,2009-03-18
2008-08-14,H (Mar 09),22.44,22.44,22.44,22.44,22.65,-0.25,42,0,201,2009-03-18
2008-08-15,H (Mar 09),22.5,22.7,22.46,22.7,22.65,0.0,90,0,201,2009-03-18
2008-08-18,H (Mar 09),0.0,0.0,0.0,0.0,22.88,0.23,0,0,201,2009-03-18
2008-08-19,H (Mar 09),23.11,23.11,23.1,23.1,23.31,0.43,2,0,203,2009-03-18
2008-08-20,H (Mar 09),23.18,23.18,23.01,23.01,23.1,-0.21,45,0,248,2009-03-18
2008-08-21,H (Mar 09),23.17,23.2,23.17,23.2,23.17,0.07,14,0,248,2009-03-18
2008-08-22,H (Mar 09),22.75,23.1,22.75,23.1,23.29,0.12,5,0,250,2009-03-18
2008-08-25,H (Mar 09),0.0,0.0,0.0,0.0,23.46,0.17,0,0,250,2009-03-18
2008-08-26,H (Mar 09),0.0,0.0,0.0,0.0,23.37,-0.09,0,0,250,2009-03-18
2008-08-27,H (Mar 09),0.0,0.0,0.0,0.0,23.16,-0.21,0,0,250,2009-03-18
2008-08-28,H (Mar 09),23.16,23.16,22.96,22.96,23.07,-0.09,21,0,250,2009-03-18
2008-08-29,H (Mar 09),23.41,23.42,23.41,23.42,23.46,0.39,20,0,266,2009-03-18
2008-09-02,H (Mar 09),23.3,23.3,23.3,23.3,23.56,0.1,3,0,268,2009-03-18
2008-09-03,H (Mar 09),23.45,23.61,23.45,23.56,23.64,0.08,19,0,286,2009-03-18
2008-09-04,H (Mar 09),23.81,23.81,23.75,23.75,24.27,0.63,10,0,294,2009-03-18
2008-09-05,H (Mar 09),24.11,24.11,24.0,24.0,24.1,-0.17,9,0,294,2009-03-18
2008-09-08,H (Mar 09),23.18,23.76,23.18,23.6,23.48,-0.62,12,0,294,2009-03-18
2008-09-09,H (Mar 09),24.42,24.42,24.42,24.42,24.53,1.05,20,0,297,2009-03-18
2008-09-10,H (Mar 09),24.15,24.23,24.15,24.21,24.28,-0.25,9,0,296,2009-03-18
2008-09-11,H (Mar 09),24.35,24.35,24.35,24.35,24.39,0.11,1,0,296,2009-03-18
2008-09-12,H (Mar 09),24.51,24.51,24.33,24.33,24.37,-0.02,29,0,303,2009-03-18
2008-09-15,H (Mar 09),26.16,26.16,24.4,24.95,25.1,0.73,50,0,317,2009-03-18
2008-09-16,H (Mar 09),25.0,26.53,24.38,24.52,24.73,-0.37,69,0,369,2009-03-18
2008-09-17,H (Mar 09),25.24,25.31,25.0,25.14,25.6,0.87,63,0,289,2009-03-18
2008-09-18,H (Mar 09),25.3,25.55,24.6,24.6,24.7,-0.9,15,0,299,2009-03-18
2008-09-19,H (Mar 09),24.31,24.31,24.31,24.31,24.41,-0.29,3,0,299,2009-03-18
2008-09-22,H (Mar 09),25.0,25.0,25.0,25.0,25.13,0.72,1,0,300,2009-03-18
2008-09-23,H (Mar 09),25.41,26.1,25.41,26.0,26.0,0.87,47,0,347,2009-03-18
2008-09-24,H (Mar 09),25.92,25.92,25.6,25.6,25.78,-0.22,3,0,337,2009-03-18
2008-09-25,H (Mar 09),25.56,25.56,25.19,25.39,25.54,-0.24,24,0,353,2009-03-18
2008-09-26,H (Mar 09),25.71,25.71,25.4,25.41,25.52,-0.02,68,0,376,2009-03-18
2008-09-29,H (Mar 09),26.01,27.6,26.01,27.25,27.45,1.93,328,0,685,2009-03-18
2008-09-30,H (Mar 09),26.89,26.89,26.35,26.55,26.54,-0.91,46,0,754,2009-03-18
2008-10-01,H (Mar 09),26.46,26.79,26.46,26.48,26.75,0.21,15,0,710,2009-03-18
2008-10-02,H (Mar 09),26.9,27.4,26.8,27.35,27.39,0.64,45,0,743,2009-03-18
2008-10-03,H (Mar 09),26.94,27.49,26.8,27.49,27.56,0.17,25,0,740,2009-03-18
2008-10-06,H (Mar 09),28.0,29.0,27.67,28.0,28.3,0.74,253,0,675,2009-03-18
2008-10-07,H (Mar 09),26.83,28.95,26.83,28.0,27.96,-0.34,381,0,1050,2009-03-18
2008-10-08,H (Mar 09),28.75,28.75,27.2,28.0,28.02,0.06,118,0,931,2009-03-18
2008-10-09,H (Mar 09),27.59,29.0,27.59,29.0,28.98,0.96,25,0,928,2009-03-18
2008-10-10,H (Mar 09),29.01,30.47,28.99,29.1,29.3,0.32,76,0,965,2009-03-18
2008-10-13,H (Mar 09),28.0,29.18,27.81,28.27,28.17,-1.13,47,0,974,2009-03-18
2008-10-14,H (Mar 09),28.1,28.99,28.1,28.99,28.85,0.68,15,0,1004,2009-03-18
2008-10-15,H (Mar 09),29.49,31.12,29.21,31.12,31.13,2.28,33,0,1025,2009-03-18
2008-10-16,H (Mar 09),31.08,33.88,30.66,32.4,32.65,1.52,24,0,1042,2009-03-18
2008-10-17,H (Mar 09),32.82,33.47,31.14,32.33,33.1,0.45,29,0,1051,2009-03-18
2008-10-20,H (Mar 09),32.9,32.9,31.94,32.0,32.12,-0.98,9,0,1051,2009-03-18
2008-10-21,H (Mar 09),31.51,32.51,31.51,32.1,32.51,0.39,11,0,1050,2009-03-18
2008-10-22,H (Mar 09),34.06,34.99,33.24,34.94,34.87,2.36,41,0,1059,2009-03-18
2008-10-23,H (Mar 09),34.5,36.0,34.5,35.0,35.12,0.25,56,0,1074,2009-03-18
2008-10-24,H (Mar 09),36.85,38.94,36.11,37.8,37.75,2.63,194,0,1156,2009-03-18
2008-10-27,H (Mar 09),37.15,39.2,36.51,38.43,38.75,1.0,220,0,1270,2009-03-18
2008-10-28,H (Mar 09),37.25,37.97,36.13,36.13,35.79,-2.96,103,0,1255,2009-03-18
2008-10-29,H (Mar 09),35.55,37.01,35.37,36.63,36.74,0.95,63,0,1243,2009-03-18
2008-10-30,H (Mar 09),36.5,37.93,36.5,37.25,37.41,0.67,17,0,1245,2009-03-18
2008-10-31,H (Mar 09),37.25,37.83,36.86,37.78,37.75,0.34,17,0,1220,2009-03-18
2008-11-03,H (Mar 09),37.05,37.49,36.48,37.29,37.2,-0.55,11,0,1221,2009-03-18
2008-11-04,H (Mar 09),35.78,35.9,34.18,35.6,35.6,-1.6,79,0,1267,2009-03-18
2008-11-05,H (Mar 09),36.24,38.43,36.21,38.08,37.95,2.35,39,0,1255,2009-03-18
2008-11-06,H (Mar 09),38.73,41.2,38.57,40.0,39.81,1.86,99,0,1288,2009-03-18
2008-11-07,H (Mar 09),39.65,40.21,39.13,39.13,39.42,-0.39,17,0,1287,2009-03-18
2008-11-10,H (Mar 09),39.7,40.36,39.65,40.0,39.72,0.3,23,0,1281,2009-03-18
2008-11-11,H (Mar 09),41.29,41.8,40.5,40.5,40.51,0.79,45,0,1308,2009-03-18
2008-11-12,H (Mar 09),41.35,42.0,40.08,41.69,41.83,1.32,10,0,1306,2009-03-18
