Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2008-06-20,J (Apr 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-04-15
2008-06-23,J (Apr 09),0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,2009-04-15
2008-06-24,J (Apr 09),0.0,0.0,0.0,0.0,24.3,1.3,0,0,0,2009-04-15
2008-06-25,J (Apr 09),0.0,0.0,0.0,0.0,22.5,-1.8,0,0,0,2009-04-15
2008-06-26,J (Apr 09),0.0,0.0,0.0,0.0,24.5,2.0,0,0,0,2009-04-15
2008-06-27,J (Apr 09),0.0,0.0,0.0,0.0,23.96,-0.54,0,0,0,2009-04-15
2008-06-30,J (Apr 09),0.0,0.0,0.0,0.0,23.6,-0.36,0,0,0,2009-04-15
2008-07-01,J (Apr 09),0.0,0.0,0.0,0.0,23.69,0.09,0,0,0,2009-04-15
2008-07-02,J (Apr 09),0.0,0.0,0.0,0.0,24.47,0.78,0,0,0,2009-04-15
2008-07-03,J (Apr 09),0.0,0.0,0.0,0.0,24.82,0.35,0,0,0,2009-04-15
2008-07-07,J (Apr 09),0.0,0.0,0.0,0.0,25.11,0.29,0,0,0,2009-04-15
2008-07-08,J (Apr 09),0.0,0.0,0.0,0.0,23.49,-1.62,0,0,0,2009-04-15
2008-07-09,J (Apr 09),0.0,0.0,0.0,0.0,24.06,0.57,0,0,0,2009-04-15
2008-07-10,J (Apr 09),0.0,0.0,0.0,0.0,24.25,0.19,0,0,0,2009-04-15
2008-07-11,J (Apr 09),0.0,0.0,0.0,0.0,24.27,0.02,0,0,0,2009-04-15
2008-07-14,J (Apr 09),0.0,0.0,0.0,0.0,24.77,0.5,0,0,0,2009-04-15
2008-07-15,J (Apr 09),0.0,0.0,0.0,0.0,24.34,-0.43,0,0,0,2009-04-15
2008-07-16,J (Apr 09),24.0,24.0,24.0,24.0,23.41,-0.93,2,0,2,2009-04-15
2008-07-17,J (Apr 09),0.0,0.0,0.0,0.0,22.92,-0.49,0,0,2,2009-04-15
2008-07-18,J (Apr 09),0.0,0.0,0.0,0.0,22.87,-0.05,0,0,2,2009-04-15
2008-07-21,J (Apr 09),0.0,0.0,0.0,0.0,22.83,-0.04,0,0,2,2009-04-15
2008-07-22,J (Apr 09),0.0,0.0,0.0,0.0,22.42,-0.41,0,0,2,2009-04-15
2008-07-23,J (Apr 09),0.0,0.0,0.0,0.0,22.36,-0.06,0,0,2,2009-04-15
2008-07-24,J (Apr 09),0.0,0.0,0.0,0.0,23.3,0.94,0,0,2,2009-04-15
2008-07-25,J (Apr 09),0.0,0.0,0.0,0.0,23.11,-0.19,0,0,2,2009-04-15
2008-07-28,J (Apr 09),0.0,0.0,0.0,0.0,23.76,0.65,0,0,2,2009-04-15
2008-07-29,J (Apr 09),0.0,0.0,0.0,0.0,22.98,-0.78,0,0,2,2009-04-15
2008-07-30,J (Apr 09),0.0,0.0,0.0,0.0,22.61,-0.37,0,0,2,2009-04-15
2008-07-31,J (Apr 09),0.0,0.0,0.0,0.0,22.83,0.22,0,0,2,2009-04-15
2008-08-01,J (Apr 09),0.0,0.0,0.0,0.0,22.97,0.14,0,0,2,2009-04-15
2008-08-04,J (Apr 09),0.0,0.0,0.0,0.0,23.1,0.13,0,0,2,2009-04-15
2008-08-05,J (Apr 09),22.55,22.55,22.55,22.55,22.38,-0.72,10,0,12,2009-04-15
2008-08-06,J (Apr 09),0.0,0.0,0.0,0.0,22.29,-0.09,0,0,12,2009-04-15
2008-08-07,J (Apr 09),0.0,0.0,0.0,0.0,22.41,0.12,0,0,12,2009-04-15
2008-08-08,J (Apr 09),0.0,0.0,0.0,0.0,22.31,-0.1,0,0,12,2009-04-15
2008-08-11,J (Apr 09),22.35,22.35,22.35,22.35,22.44,0.13,2,0,14,2009-04-15
2008-08-12,J (Apr 09),0.0,0.0,0.0,0.0,22.62,0.18,0,0,14,2009-04-15
2008-08-13,J (Apr 09),0.0,0.0,0.0,0.0,22.97,0.35,0,0,14,2009-04-15
2008-08-14,J (Apr 09),0.0,0.0,0.0,0.0,22.74,-0.23,0,0,14,2009-04-15
2008-08-15,J (Apr 09),0.0,0.0,0.0,0.0,22.67,-0.07,0,0,14,2009-04-15
2008-08-18,J (Apr 09),0.0,0.0,0.0,0.0,23.03,0.36,0,0,14,2009-04-15
2008-08-19,J (Apr 09),0.0,0.0,0.0,0.0,23.34,0.31,0,0,14,2009-04-15
2008-08-20,J (Apr 09),0.0,0.0,0.0,0.0,23.21,-0.13,0,0,14,2009-04-15
2008-08-21,J (Apr 09),22.92,22.92,22.92,22.92,23.18,-0.03,1,0,15,2009-04-15
2008-08-22,J (Apr 09),0.0,0.0,0.0,0.0,23.13,-0.05,0,0,15,2009-04-15
2008-08-25,J (Apr 09),0.0,0.0,0.0,0.0,23.44,0.31,0,0,15,2009-04-15
2008-08-26,J (Apr 09),0.0,0.0,0.0,0.0,23.37,-0.07,0,0,15,2009-04-15
2008-08-27,J (Apr 09),0.0,0.0,0.0,0.0,23.17,-0.2,0,0,15,2009-04-15
2008-08-28,J (Apr 09),23.06,23.21,22.96,23.21,23.1,-0.07,25,0,37,2009-04-15
2008-08-29,J (Apr 09),23.4,23.4,23.4,23.4,23.39,0.29,1,0,37,2009-04-15
2008-09-02,J (Apr 09),0.0,0.0,0.0,0.0,23.43,0.04,0,0,37,2009-04-15
