Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2008-07-29,K (May 09),0.0,0.0,0.0,0.0,23.03,0.0,0,0,0,2009-05-20
2008-07-30,K (May 09),0.0,0.0,0.0,0.0,22.89,-0.14,0,0,0,2009-05-20
2008-07-31,K (May 09),0.0,0.0,0.0,0.0,22.85,-0.04,0,0,0,2009-05-20
2008-08-01,K (May 09),23.25,23.25,23.25,23.25,23.25,0.4,1,0,1,2009-05-20
2008-08-04,K (May 09),23.25,23.25,23.25,23.25,23.14,-0.11,1,0,2,2009-05-20
2008-08-05,K (May 09),22.41,22.85,22.41,22.56,22.67,-0.47,5,0,6,2009-05-20
2008-08-06,K (May 09),0.0,0.0,0.0,0.0,22.45,-0.22,0,0,5,2009-05-20
2008-08-07,K (May 09),22.5,22.5,22.31,22.31,22.34,-0.11,126,0,129,2009-05-20
2008-08-08,K (May 09),22.3,22.3,22.3,22.3,22.27,-0.07,1,0,130,2009-05-20
2008-08-11,K (May 09),22.08,22.15,22.08,22.1,22.25,-0.02,12,0,142,2009-05-20
2008-08-12,K (May 09),0.0,0.0,0.0,0.0,22.45,0.2,0,0,140,2009-05-20
2008-08-13,K (May 09),22.63,22.66,22.63,22.66,22.9,0.45,30,0,169,2009-05-20
2008-08-14,K (May 09),22.46,22.46,22.45,22.45,22.64,-0.26,2,0,171,2009-05-20
2008-08-15,K (May 09),0.0,0.0,0.0,0.0,22.6,-0.04,0,0,171,2009-05-20
2008-08-18,K (May 09),22.4,22.4,22.4,22.4,22.8,0.2,40,0,211,2009-05-20
2008-08-19,K (May 09),0.0,0.0,0.0,0.0,23.25,0.45,0,0,211,2009-05-20
2008-08-20,K (May 09),23.45,23.45,23.45,23.45,23.1,-0.15,1,0,211,2009-05-20
2008-08-21,K (May 09),23.3,23.3,23.05,23.1,23.09,-0.01,6,0,212,2009-05-20
2008-08-22,K (May 09),22.85,22.85,22.85,22.85,22.88,-0.21,1,0,212,2009-05-20
2008-08-25,K (May 09),0.0,0.0,0.0,0.0,23.36,0.48,0,0,212,2009-05-20
2008-08-26,K (May 09),0.0,0.0,0.0,0.0,23.22,-0.14,0,0,212,2009-05-20
2008-08-27,K (May 09),0.0,0.0,0.0,0.0,22.97,-0.25,0,0,212,2009-05-20
2008-08-28,K (May 09),0.0,0.0,0.0,0.0,22.98,0.01,0,0,212,2009-05-20
2008-08-29,K (May 09),0.0,0.0,0.0,0.0,23.05,0.07,0,0,212,2009-05-20
2008-09-02,K (May 09),0.0,0.0,0.0,0.0,23.17,0.12,0,0,212,2009-05-20
2008-09-03,K (May 09),23.35,23.35,23.3,23.3,23.3,0.13,5,0,212,2009-05-20
2008-09-04,K (May 09),23.54,23.54,23.5,23.5,23.9,0.6,10,0,222,2009-05-20
2008-09-05,K (May 09),0.0,0.0,0.0,0.0,23.76,-0.14,0,0,217,2009-05-20
2008-09-08,K (May 09),0.0,0.0,0.0,0.0,23.16,-0.6,0,0,217,2009-05-20
2008-09-09,K (May 09),0.0,0.0,0.0,0.0,24.26,1.1,0,0,217,2009-05-20
2008-09-10,K (May 09),0.0,0.0,0.0,0.0,24.05,-0.21,0,0,217,2009-05-20
2008-09-11,K (May 09),24.54,24.54,24.54,24.54,24.08,0.03,3,0,217,2009-05-20
2008-09-12,K (May 09),0.0,0.0,0.0,0.0,24.16,0.08,0,0,217,2009-05-20
2008-09-15,K (May 09),0.0,0.0,0.0,0.0,24.71,0.55,0,0,217,2009-05-20
2008-09-16,K (May 09),24.58,24.58,24.15,24.15,24.31,-0.4,53,0,267,2009-05-20
2008-09-17,K (May 09),0.0,0.0,0.0,0.0,25.1,0.79,0,0,217,2009-05-20
2008-09-18,K (May 09),25.3,25.3,24.45,24.45,23.86,-1.24,116,0,217,2009-05-20
2008-09-19,K (May 09),23.9,24.0,23.78,23.78,23.57,-0.29,35,0,217,2009-05-20
2008-09-22,K (May 09),0.0,0.0,0.0,0.0,24.65,1.08,0,0,217,2009-05-20
2008-09-23,K (May 09),0.0,0.0,0.0,0.0,25.48,0.83,0,0,217,2009-05-20
2008-09-24,K (May 09),0.0,0.0,0.0,0.0,25.44,-0.04,0,0,217,2009-05-20
2008-09-25,K (May 09),25.53,25.53,24.41,24.41,24.98,-0.46,2,0,217,2009-05-20
2008-09-26,K (May 09),25.07,25.07,24.85,24.85,25.1,0.12,50,0,267,2009-05-20
2008-09-29,K (May 09),27.1,27.1,25.75,27.05,26.55,1.45,216,0,480,2009-05-20
2008-09-30,K (May 09),26.0,26.0,25.44,25.55,25.75,-0.8,50,0,267,2009-05-20
2008-10-01,K (May 09),25.9,25.9,25.7,25.82,26.05,0.3,4,0,236,2009-05-20
