Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2009-10-15,M (Jun 10),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2010-06-16
2009-10-16,M (Jun 10),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2010-06-16
2009-10-19,M (Jun 10),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2010-06-16
2009-10-20,M (Jun 10),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2010-06-16
2009-10-21,M (Jun 10),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2010-06-16
2009-10-22,M (Jun 10),0.0,0.0,0.0,0.0,27.0,27.0,0,0,0,2010-06-16
2009-10-23,M (Jun 10),26.8,27.0,26.8,27.0,27.05,0.05,3,0,3,2010-06-16
2009-10-26,M (Jun 10),27.5,27.5,27.5,27.5,27.3,0.25,1,0,3,2010-06-16
2009-10-27,M (Jun 10),27.45,27.45,27.2,27.35,27.3,0.0,25,0,27,2010-06-16
2009-10-28,M (Jun 10),27.6,27.7,27.5,27.65,27.8,0.5,5,0,32,2010-06-16
2009-10-29,M (Jun 10),27.0,27.0,27.0,27.0,27.1,-0.7,2,0,31,2010-06-16
2009-10-30,M (Jun 10),27.85,28.0,27.85,28.0,28.2,1.1,11,0,41,2010-06-16
2009-11-02,M (Jun 10),27.9,27.9,27.85,27.85,28.0,-0.2,4,0,43,2010-06-16
2009-11-03,M (Jun 10),27.95,28.15,27.95,28.0,28.15,0.15,6,0,42,2010-06-16
2009-11-04,M (Jun 10),27.35,27.85,27.35,27.85,27.95,-0.2,10,0,50,2010-06-16
2009-11-05,M (Jun 10),27.55,27.55,27.45,27.45,27.55,-0.4,2,0,51,2010-06-16
2009-11-06,M (Jun 10),27.45,27.45,27.4,27.4,27.4,-0.15,3,0,49,2010-06-16
2009-11-09,M (Jun 10),27.45,27.45,26.8,26.9,26.95,-0.45,13,0,44,2010-06-16
2009-11-10,M (Jun 10),26.85,27.15,26.8,27.05,27.05,0.1,30,0,66,2010-06-16
2009-11-11,M (Jun 10),26.9,27.4,26.9,27.4,27.4,0.35,20,0,69,2010-06-16
2009-11-12,M (Jun 10),27.6,27.95,27.6,27.85,27.9,0.5,62,0,114,2010-06-16
2009-11-13,M (Jun 10),27.75,27.85,27.65,27.8,27.8,-0.1,39,0,136,2010-06-16
2009-11-16,M (Jun 10),27.4,27.65,27.35,27.65,27.65,-0.15,33,0,155,2010-06-16
2009-11-17,M (Jun 10),27.65,27.8,27.65,27.7,27.7,0.05,20,0,166,2010-06-16
2009-11-18,M (Jun 10),27.8,27.85,27.65,27.73,27.7,0.0,13,0,171,2010-06-16
2009-11-19,M (Jun 10),28.2,28.2,27.95,27.95,28.0,0.3,147,0,299,2010-06-16
2009-11-20,M (Jun 10),28.05,28.15,27.9,27.9,27.95,-0.05,13,0,298,2010-06-16
2009-11-23,M (Jun 10),27.7,27.7,27.55,27.55,27.65,-0.3,4,0,297,2010-06-16
2009-11-24,M (Jun 10),27.45,27.6,27.45,27.55,27.6,-0.05,21,0,301,2010-06-16
2009-11-25,M (Jun 10),27.55,27.65,27.4,27.4,27.45,-0.15,19,0,313,2010-06-16
2009-11-27,M (Jun 10),28.25,28.25,28.0,28.15,28.15,0.7,18,0,316,2010-06-16
2009-11-30,M (Jun 10),28.2,28.35,28.1,28.25,28.25,0.1,46,0,337,2010-06-16
2009-12-01,M (Jun 10),27.7,27.75,27.7,27.7,27.7,-0.55,15,0,341,2010-06-16
2009-12-02,M (Jun 10),27.7,27.8,27.6,27.8,27.8,0.1,26,0,359,2010-06-16
2009-12-03,M (Jun 10),27.55,28.0,27.55,27.9,27.9,0.1,35,0,376,2010-06-16
2009-12-04,M (Jun 10),27.45,28.05,27.45,27.9,27.9,0.0,27,0,394,2010-06-16
2009-12-07,M (Jun 10),27.55,27.85,27.55,27.75,27.85,-0.05,13,0,401,2010-06-16
2009-12-08,M (Jun 10),28.15,28.45,28.0,28.45,28.45,0.6,23,0,413,2010-06-16
2009-12-09,M (Jun 10),28.45,28.65,28.4,28.4,28.35,-0.1,53,0,426,2010-06-16
2009-12-10,M (Jun 10),28.3,28.35,28.2,28.25,28.25,-0.1,22,0,435,2010-06-16
2009-12-11,M (Jun 10),28.3,28.4,28.2,28.3,28.2,-0.05,33,0,450,2010-06-16
2009-12-14,M (Jun 10),28.05,28.2,28.05,28.1,28.15,-0.05,17,0,452,2010-06-16
2009-12-15,M (Jun 10),28.25,28.25,27.9,27.9,27.95,-0.2,72,0,454,2010-06-16
2009-12-16,M (Jun 10),27.85,27.93,27.65,27.65,27.7,-0.25,73,0,460,2010-06-16
2009-12-17,M (Jun 10),27.95,27.95,27.85,27.91,27.9,0.2,24,0,465,2010-06-16
2009-12-18,M (Jun 10),27.9,27.9,27.55,27.55,27.55,-0.35,54,0,486,2010-06-16
2009-12-21,M (Jun 10),27.15,27.25,26.7,26.7,26.75,-0.8,128,0,588,2010-06-16
2009-12-22,M (Jun 10),26.65,26.65,26.25,26.25,26.25,-0.5,86,0,617,2010-06-16
2009-12-23,M (Jun 10),26.05,26.1,25.9,26.05,26.1,-0.15,60,0,646,2010-06-16
2009-12-24,M (Jun 10),26.2,26.2,25.8,25.9,25.95,-0.15,71,0,705,2010-06-16
2009-12-28,M (Jun 10),25.8,26.0,25.7,25.85,25.8,-0.15,25,0,705,2010-06-16
2009-12-29,M (Jun 10),25.75,25.8,25.65,25.65,25.7,-0.1,39,0,707,2010-06-16
2009-12-30,M (Jun 10),25.8,25.95,25.8,25.8,25.9,0.2,33,0,711,2010-06-16
2009-12-31,M (Jun 10),25.95,26.45,25.95,26.45,26.3,0.4,56,0,732,2010-06-16
2010-01-04,M (Jun 10),25.9,25.9,25.7,25.7,25.75,-0.55,139,0,844,2010-06-16
2010-01-05,M (Jun 10),25.55,25.65,25.4,25.4,25.5,-0.25,69,0,876,2010-06-16
2010-01-06,M (Jun 10),25.45,25.45,25.05,25.05,25.05,-0.45,49,0,874,2010-06-16
2010-01-07,M (Jun 10),25.15,25.15,24.85,24.85,24.85,-0.2,64,0,904,2010-06-16
2010-01-08,M (Jun 10),24.85,24.86,24.55,24.55,24.6,-0.25,164,0,987,2010-06-16
2010-01-11,M (Jun 10),24.45,24.6,24.35,24.35,24.4,-0.2,87,0,1030,2010-06-16
2010-01-12,M (Jun 10),24.65,24.75,24.35,24.4,24.45,0.05,551,0,1425,2010-06-16
2010-01-13,M (Jun 10),24.05,24.6,24.05,24.4,24.4,-0.05,116,0,1405,2010-06-16
2010-01-14,M (Jun 10),24.5,24.5,24.0,24.0,24.0,-0.4,861,0,1409,2010-06-16
2010-01-15,M (Jun 10),24.2,24.6,24.2,24.3,24.35,0.35,71,0,1403,2010-06-16
2010-01-19,M (Jun 10),24.2,24.2,23.7,23.75,23.8,-0.55,191,0,1510,2010-06-16
2010-01-20,M (Jun 10),23.95,24.2,23.85,23.95,23.9,0.1,166,0,1570,2010-06-16
2010-01-21,M (Jun 10),23.85,24.65,23.8,24.5,24.45,0.55,201,0,1639,2010-06-16
2010-01-22,M (Jun 10),24.95,25.45,24.35,25.3,25.35,0.9,416,0,1842,2010-06-16
2010-01-25,M (Jun 10),25.07,25.1,24.9,25.0,25.1,-0.25,117,0,1850,2010-06-16
2010-01-26,M (Jun 10),25.3,25.3,24.85,25.3,25.3,0.2,222,0,1984,2010-06-16
2010-01-27,M (Jun 10),25.35,25.5,25.1,25.1,25.1,-0.2,164,0,1872,2010-06-16
2010-01-28,M (Jun 10),25.0,25.4,24.9,25.15,25.15,0.05,97,0,1895,2010-06-16
2010-01-29,M (Jun 10),24.9,25.4,24.85,25.4,25.45,0.3,231,0,1967,2010-06-16
2010-02-01,M (Jun 10),25.0,25.15,24.9,24.95,25.0,-0.45,49,0,1968,2010-06-16
2010-02-02,M (Jun 10),24.9,24.9,24.65,24.75,24.75,-0.25,168,0,1973,2010-06-16
2010-02-03,M (Jun 10),24.8,24.9,24.55,24.8,24.85,0.1,277,0,2187,2010-06-16
2010-02-04,M (Jun 10),25.0,26.0,25.0,25.8,25.95,1.1,198,0,2161,2010-06-16
2010-02-05,M (Jun 10),25.85,26.5,25.65,26.2,26.15,0.2,231,0,1955,2010-06-16
2010-02-08,M (Jun 10),26.0,26.3,26.0,26.3,26.3,0.15,268,97,2048,2010-06-16
2010-02-09,M (Jun 10),25.75,26.35,25.6,26.1,26.15,-0.15,105,0,2046,2010-06-16
2010-02-10,M (Jun 10),26.1,26.5,25.95,26.1,26.1,-0.05,280,0,2222,2010-06-16
2010-02-11,M (Jun 10),25.7,26.35,25.7,25.75,25.85,-0.25,105,0,2244,2010-06-16
2010-02-12,M (Jun 10),26.3,26.3,25.85,25.9,25.95,0.1,73,0,2260,2010-06-16
2010-02-16,M (Jun 10),25.55,25.65,25.2,25.2,25.2,-0.75,133,0,2216,2010-06-16
2010-02-17,M (Jun 10),25.0,25.2,24.9,25.0,24.95,-0.25,58,0,2227,2010-06-16
2010-02-18,M (Jun 10),25.1,25.2,24.64,24.7,24.7,-0.25,419,0,2311,2010-06-16
2010-02-19,M (Jun 10),24.8,24.8,24.3,24.4,24.35,-0.35,179,0,2358,2010-06-16
2010-02-22,M (Jun 10),24.25,24.3,23.9,24.1,24.0,-0.35,112,0,2286,2010-06-16
2010-02-23,M (Jun 10),24.0,24.6,24.0,24.35,24.3,0.3,302,0,2434,2010-06-16
2010-02-24,M (Jun 10),24.35,24.35,23.9,23.99,24.05,-0.25,139,0,2422,2010-06-16
2010-02-25,M (Jun 10),24.4,24.5,24.0,24.05,24.1,0.05,271,0,2474,2010-06-16
2010-02-26,M (Jun 10),24.03,24.15,23.95,23.95,23.95,-0.15,205,0,2503,2010-06-16
2010-03-01,M (Jun 10),23.75,23.95,23.75,23.85,23.85,-0.1,118,0,2505,2010-06-16
2010-03-02,M (Jun 10),23.7,23.8,23.5,23.75,23.75,-0.1,160,0,2551,2010-06-16
2010-03-03,M (Jun 10),23.6,23.65,23.44,23.45,23.45,-0.3,184,0,2642,2010-06-16
2010-03-04,M (Jun 10),23.5,23.75,23.3,23.55,23.6,0.15,280,0,2737,2010-06-16
2010-03-05,M (Jun 10),23.25,23.45,22.95,23.0,23.05,-0.55,431,0,2951,2010-06-16
2010-03-08,M (Jun 10),22.85,23.05,22.85,22.95,22.95,-0.1,180,0,3024,2010-06-16
2010-03-09,M (Jun 10),23.1,23.12,22.8,22.95,23.0,0.05,340,0,3038,2010-06-16
2010-03-10,M (Jun 10),23.0,23.3,22.8,23.25,23.3,0.3,603,0,3313,2010-06-16
2010-03-11,M (Jun 10),23.35,23.7,23.3,23.4,23.4,0.1,673,0,3733,2010-06-16
2010-03-12,M (Jun 10),23.3,23.52,23.2,23.2,23.25,-0.15,314,0,3726,2010-06-16
2010-03-15,M (Jun 10),23.3,23.5,23.15,23.35,23.35,0.1,211,0,3802,2010-06-16
2010-03-16,M (Jun 10),23.2,23.25,23.0,23.0,23.0,-0.35,402,0,3985,2010-06-16
2010-03-17,M (Jun 10),22.85,22.85,22.4,22.65,22.65,-0.35,348,0,4026,2010-06-16
2010-03-18,M (Jun 10),22.65,22.75,22.4,22.4,22.45,-0.2,528,0,4083,2010-06-16
2010-03-19,M (Jun 10),22.35,22.8,22.35,22.65,22.7,0.25,328,0,4125,2010-06-16
2010-03-22,M (Jun 10),22.8,22.98,22.5,22.55,22.55,-0.15,166,0,4116,2010-06-16
2010-03-23,M (Jun 10),22.45,22.56,22.28,22.35,22.35,-0.2,338,0,4121,2010-06-16
2010-03-24,M (Jun 10),22.4,22.7,22.4,22.56,22.6,0.25,185,0,4196,2010-06-16
2010-03-25,M (Jun 10),22.45,22.95,22.15,22.9,22.9,0.3,376,0,4361,2010-06-16
2010-03-26,M (Jun 10),22.85,22.9,22.6,22.7,22.7,-0.2,561,0,4365,2010-06-16
2010-03-29,M (Jun 10),22.3,22.5,22.3,22.35,22.35,-0.35,286,0,4641,2010-06-16
2010-03-30,M (Jun 10),22.3,22.45,22.08,22.1,22.15,-0.2,402,0,4686,2010-06-16
2010-03-31,M (Jun 10),22.6,22.6,22.15,22.15,22.2,0.05,214,0,4715,2010-06-16
2010-04-01,M (Jun 10),22.05,22.3,21.7,22.25,22.25,0.05,594,0,4882,2010-06-16
2010-04-05,M (Jun 10),21.1,22.15,21.1,21.6,21.6,-0.65,330,0,4772,2010-06-16
2010-04-06,M (Jun 10),21.6,21.8,21.1,21.15,21.2,-0.4,669,0,4893,2010-06-16
2010-04-07,M (Jun 10),21.35,21.5,20.95,21.35,21.4,0.2,581,0,5076,2010-06-16
2010-04-08,M (Jun 10),21.85,21.85,21.18,21.18,21.2,-0.2,522,0,5232,2010-06-16
2010-04-09,M (Jun 10),21.25,21.25,21.0,21.1,21.15,-0.05,416,0,5267,2010-06-16
2010-04-12,M (Jun 10),21.16,21.23,21.0,21.15,21.2,0.05,350,0,5300,2010-06-16
2010-04-13,M (Jun 10),21.3,21.5,21.1,21.22,21.25,0.05,700,0,5719,2010-06-16
2010-04-14,M (Jun 10),21.05,21.22,20.85,20.9,20.95,-0.3,705,0,6110,2010-06-16
2010-04-15,M (Jun 10),20.95,21.1,20.8,20.9,20.95,0.0,717,0,6253,2010-06-16
2010-04-16,M (Jun 10),21.15,22.15,21.05,21.45,21.45,0.5,603,0,6338,2010-06-16
2010-04-19,M (Jun 10),21.8,21.84,21.0,21.04,21.0,-0.45,1416,0,6551,2010-06-16
2010-04-20,M (Jun 10),20.9,21.0,20.3,20.45,20.45,-0.55,1478,0,6625,2010-06-16
2010-04-21,M (Jun 10),20.5,20.85,20.2,20.7,20.75,0.3,2088,100,7384,2010-06-16
2010-04-22,M (Jun 10),21.05,21.37,20.6,20.7,20.75,0.0,3097,0,9064,2010-06-16
2010-04-23,M (Jun 10),20.65,20.85,20.45,20.7,20.75,0.0,1612,0,10078,2010-06-16
2010-04-26,M (Jun 10),20.75,21.0,20.6,20.9,20.95,0.2,1774,0,10956,2010-06-16
2010-04-27,M (Jun 10),21.21,22.45,20.9,22.35,22.4,1.45,5780,11,14776,2010-06-16
2010-04-28,M (Jun 10),21.9,22.5,21.55,22.15,22.2,-0.2,3842,0,15427,2010-06-16
2010-04-29,M (Jun 10),21.85,22.0,21.25,21.6,21.65,-0.55,2591,0,15714,2010-06-16
2010-04-30,M (Jun 10),21.75,23.1,21.65,22.95,23.0,1.35,3790,0,17293,2010-06-16
2010-05-03,M (Jun 10),22.7,22.75,22.25,22.55,22.6,-0.4,3538,57,18092,2010-06-16
2010-05-04,M (Jun 10),23.45,24.6,23.2,24.4,24.45,1.85,6166,255,21045,2010-06-16
2010-05-05,M (Jun 10),25.3,26.2,24.35,25.5,25.45,1.0,6268,709,21022,2010-06-16
2010-05-06,M (Jun 10),26.25,47.75,25.4,29.05,29.1,3.65,11725,0,25008,2010-06-16
2010-05-07,M (Jun 10),29.1,32.8,28.15,31.0,30.95,1.85,18028,283,23978,2010-06-16
2010-05-10,M (Jun 10),27.2,27.2,24.9,27.05,27.05,-3.9,12380,4373,24378,2010-06-16
2010-05-11,M (Jun 10),27.5,27.85,26.0,27.1,27.05,0.0,5595,0,21448,2010-06-16
2010-05-12,M (Jun 10),26.55,26.62,25.45,25.75,25.8,-1.25,4845,0,22021,2010-06-16
2010-05-13,M (Jun 10),25.3,26.4,25.15,26.4,26.4,0.6,4493,200,22512,2010-06-16
2010-05-14,M (Jun 10),27.45,29.5,26.85,28.7,28.75,2.35,10148,0,23686,2010-06-16
2010-05-17,M (Jun 10),28.0,30.35,27.9,29.0,29.0,0.25,8455,426,25830,2010-06-16
2010-05-18,M (Jun 10),27.0,31.0,26.85,31.0,30.95,1.95,11049,0,27570,2010-06-16
2010-05-19,M (Jun 10),31.75,32.9,30.2,31.7,31.65,0.7,17495,952,26217,2010-06-16
2010-05-20,M (Jun 10),34.6,37.5,33.95,35.95,35.95,4.3,23898,1127,28636,2010-06-16
2010-05-21,M (Jun 10),37.6,38.2,33.9,35.75,35.75,-0.2,13483,1151,29221,2010-06-16
2010-05-24,M (Jun 10),35.65,35.65,33.65,35.1,35.1,-0.65,8075,306,28658,2010-06-16
