Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2010-11-10,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-11,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-12,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-15,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-16,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-17,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-18,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-19,N (Jul 11),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2011-07-20
2010-11-22,N (Jul 11),27.35,27.4,27.3,27.3,27.3,27.3,17,0,14,2011-07-20
2010-11-23,N (Jul 11),27.7,27.95,27.65,27.75,27.8,0.5,68,0,59,2011-07-20
2010-11-24,N (Jul 11),27.39,27.45,27.28,27.43,27.45,-0.35,70,0,109,2011-07-20
2010-11-26,N (Jul 11),27.8,28.0,27.75,28.0,28.05,0.6,79,0,92,2011-07-20
2010-11-29,N (Jul 11),27.8,28.31,27.8,28.05,28.05,0.0,214,0,195,2011-07-20
2010-11-30,N (Jul 11),28.5,28.89,28.4,28.75,28.75,0.7,238,0,294,2011-07-20
2010-12-01,N (Jul 11),28.05,28.25,27.75,28.25,28.25,-0.5,47,0,309,2011-07-20
2010-12-02,N (Jul 11),28.05,28.05,27.36,27.45,27.5,-0.75,130,0,353,2011-07-20
2010-12-03,N (Jul 11),27.8,27.8,26.99,27.0,27.0,-0.5,71,0,372,2011-07-20
2010-12-06,N (Jul 11),27.1,27.15,26.7,26.86,26.85,-0.15,323,0,601,2011-07-20
2010-12-07,N (Jul 11),26.4,26.95,26.3,26.95,26.95,0.1,246,0,748,2011-07-20
2010-12-08,N (Jul 11),26.6,26.76,26.2,26.3,26.3,-0.65,155,0,814,2011-07-20
2010-12-09,N (Jul 11),26.25,26.5,26.04,26.04,26.05,-0.25,415,0,1071,2011-07-20
2010-12-10,N (Jul 11),26.05,26.05,25.65,25.66,25.7,-0.35,169,0,1177,2011-07-20
2010-12-13,N (Jul 11),25.4,25.75,25.4,25.75,25.7,0.0,136,0,1246,2011-07-20
2010-12-14,N (Jul 11),25.6,25.85,25.45,25.65,25.65,-0.05,155,0,1311,2011-07-20
2010-12-15,N (Jul 11),25.5,25.9,25.5,25.8,25.8,0.15,20,0,1316,2011-07-20
2010-12-16,N (Jul 11),25.7,25.75,25.55,25.65,25.65,-0.15,68,0,1351,2011-07-20
2010-12-17,N (Jul 11),25.7,25.75,25.45,25.55,25.5,-0.15,68,0,1354,2011-07-20
2010-12-20,N (Jul 11),25.3,25.5,25.3,25.4,25.4,-0.1,141,0,1470,2011-07-20
2010-12-21,N (Jul 11),25.35,25.35,25.24,25.3,25.3,-0.1,84,0,1541,2011-07-20
2010-12-22,N (Jul 11),25.15,25.35,25.15,25.3,25.3,0.0,180,0,1647,2011-07-20
2010-12-23,N (Jul 11),25.3,25.7,25.3,25.4,25.5,0.2,146,0,1753,2011-07-20
2010-12-27,N (Jul 11),25.75,26.05,25.75,25.85,25.9,0.4,2102,0,3814,2011-07-20
2010-12-28,N (Jul 11),26.05,26.05,25.75,25.9,25.8,-0.1,255,0,2973,2011-07-20
2010-12-29,N (Jul 11),25.86,25.95,25.8,25.85,25.85,0.05,467,0,4274,2011-07-20
2010-12-30,N (Jul 11),25.95,26.0,25.84,25.95,26.0,0.15,439,0,4441,2011-07-20
2010-12-31,N (Jul 11),26.05,26.25,26.03,26.25,26.3,0.3,731,0,4879,2011-07-20
2011-01-03,N (Jul 11),25.97,26.0,25.55,26.0,25.95,-0.35,708,47,5223,2011-07-20
2011-01-04,N (Jul 11),25.84,26.05,25.7,25.75,25.75,-0.2,1032,0,5687,2011-07-20
2011-01-05,N (Jul 11),25.85,25.85,25.4,25.5,25.45,-0.3,296,0,5785,2011-07-20
2011-01-06,N (Jul 11),25.4,25.55,25.2,25.5,25.45,0.0,1353,0,6717,2011-07-20
2011-01-07,N (Jul 11),25.45,25.95,25.18,25.65,25.6,0.15,1438,0,7344,2011-07-20
2011-01-10,N (Jul 11),25.81,25.9,25.55,25.8,25.75,0.15,961,0,7765,2011-07-20
2011-01-11,N (Jul 11),25.7,25.7,25.4,25.5,25.5,-0.25,601,0,7794,2011-07-20
2011-01-12,N (Jul 11),25.27,25.27,24.9,25.15,25.15,-0.35,823,0,8087,2011-07-20
2011-01-13,N (Jul 11),25.05,25.15,24.75,24.9,24.9,-0.25,450,0,8314,2011-07-20
2011-01-14,N (Jul 11),24.9,24.9,24.25,24.4,24.4,-0.5,648,0,8517,2011-07-20
2011-01-18,N (Jul 11),24.45,24.45,23.8,24.05,24.0,-0.4,527,0,8666,2011-07-20
2011-01-19,N (Jul 11),24.0,24.7,24.0,24.55,24.6,0.6,1167,0,8962,2011-07-20
2011-01-20,N (Jul 11),24.65,24.8,24.25,24.4,24.4,-0.2,706,52,9058,2011-07-20
2011-01-21,N (Jul 11),24.17,24.53,23.95,24.3,24.35,-0.05,780,0,9162,2011-07-20
2011-01-24,N (Jul 11),24.65,24.65,24.0,24.15,24.15,-0.2,752,0,9501,2011-07-20
2011-01-25,N (Jul 11),24.25,24.3,23.9,23.95,23.95,-0.2,1097,0,9911,2011-07-20
2011-01-26,N (Jul 11),23.9,23.9,23.34,23.45,23.4,-0.55,1223,0,10487,2011-07-20
2011-01-27,N (Jul 11),23.4,23.4,23.0,23.15,23.15,-0.25,1859,0,11398,2011-07-20
2011-01-28,N (Jul 11),23.1,23.99,22.8,23.95,23.9,0.75,1980,0,12303,2011-07-20
2011-01-31,N (Jul 11),23.5,23.7,23.44,23.5,23.5,-0.4,1244,0,12830,2011-07-20
2011-02-01,N (Jul 11),23.5,23.5,22.6,22.8,22.75,-0.75,1471,0,13336,2011-07-20
2011-02-02,N (Jul 11),22.7,22.8,22.55,22.7,22.7,-0.05,2062,0,14384,2011-07-20
2011-02-03,N (Jul 11),22.85,22.95,22.5,22.6,22.6,-0.1,558,0,14457,2011-07-20
2011-02-04,N (Jul 11),22.35,22.55,22.2,22.35,22.3,-0.3,1307,0,14816,2011-07-20
2011-02-07,N (Jul 11),22.15,22.15,21.83,21.9,21.95,-0.35,1230,0,15114,2011-07-20
2011-02-08,N (Jul 11),21.95,22.11,21.63,21.65,21.65,-0.3,1591,0,15152,2011-07-20
2011-02-09,N (Jul 11),21.75,21.8,21.4,21.6,21.6,-0.05,942,25,15356,2011-07-20
2011-02-10,N (Jul 11),21.79,21.95,21.26,21.27,21.3,-0.3,1285,0,15087,2011-07-20
2011-02-11,N (Jul 11),21.45,21.5,21.02,21.1,21.15,-0.15,1225,0,15320,2011-07-20
2011-02-14,N (Jul 11),21.07,21.15,21.0,21.05,21.1,-0.05,276,0,15390,2011-07-20
2011-02-15,N (Jul 11),21.14,21.3,21.03,21.2,21.25,0.15,987,0,15652,2011-07-20
2011-02-16,N (Jul 11),21.0,21.4,20.95,21.4,21.4,0.15,1755,0,16422,2011-07-20
2011-02-17,N (Jul 11),21.43,21.7,21.4,21.7,21.7,0.3,1521,0,16780,2011-07-20
2011-02-18,N (Jul 11),21.58,22.25,21.55,21.96,21.95,0.25,2687,0,17501,2011-07-20
2011-02-22,N (Jul 11),22.65,23.47,22.34,23.2,23.2,1.25,4202,0,19065,2011-07-20
2011-02-23,N (Jul 11),22.85,24.0,22.85,23.75,23.8,0.6,3104,0,19674,2011-07-20
2011-02-24,N (Jul 11),23.9,24.42,23.5,23.75,23.75,-0.05,2308,0,20029,2011-07-20
