Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2005-12-21,Q (Aug 06),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2006-08-16
2005-12-22,Q (Aug 06),160.4,162.4,160.4,162.4,161.9,161.9,160,0,160,2006-08-16
2005-12-23,Q (Aug 06),163.0,163.1,163.0,163.1,162.5,0.6,14,0,174,2006-08-16
2005-12-27,Q (Aug 06),162.8,164.5,162.8,164.5,163.9,1.4,20,0,194,2006-08-16
2005-12-28,Q (Aug 06),0.0,0.0,0.0,0.0,164.0,0.1,0,0,194,2006-08-16
2005-12-29,Q (Aug 06),0.0,0.0,0.0,0.0,163.8,-0.2,0,0,194,2006-08-16
2005-12-30,Q (Aug 06),165.2,165.2,165.2,165.2,164.7,0.9,10,0,204,2006-08-16
2006-01-03,Q (Aug 06),164.7,165.3,164.0,164.0,163.0,-1.7,12,0,216,2006-08-16
2006-01-04,Q (Aug 06),163.6,163.6,162.1,162.3,162.2,-0.8,27,0,228,2006-08-16
2006-01-05,Q (Aug 06),162.0,162.2,161.9,161.9,162.1,-0.1,11,0,229,2006-08-16
2006-01-06,Q (Aug 06),161.5,165.3,161.5,161.8,161.8,-0.3,90,0,309,2006-08-16
2006-01-09,Q (Aug 06),160.8,161.7,159.6,159.6,160.1,-1.7,18,0,312,2006-08-16
2006-01-10,Q (Aug 06),160.8,160.9,159.5,160.5,160.3,0.2,35,0,298,2006-08-16
2006-01-11,Q (Aug 06),160.0,160.25,159.5,159.5,160.0,-0.3,47,0,332,2006-08-16
2006-01-12,Q (Aug 06),161.0,161.0,160.5,160.5,160.7,0.7,2,0,333,2006-08-16
2006-01-13,Q (Aug 06),160.5,162.8,160.5,162.8,161.9,1.2,51,0,365,2006-08-16
2006-01-17,Q (Aug 06),161.6,161.6,161.6,161.6,161.5,-0.4,16,0,388,2006-08-16
2006-01-18,Q (Aug 06),163.4,163.4,162.2,162.2,162.9,1.4,20,0,393,2006-08-16
2006-01-19,Q (Aug 06),162.1,162.1,162.1,162.1,162.0,-0.9,10,0,393,2006-08-16
2006-01-20,Q (Aug 06),163.1,163.7,163.1,163.7,163.2,1.2,17,0,396,2006-08-16
2006-01-23,Q (Aug 06),163.9,163.9,161.7,163.0,162.8,-0.4,120,0,501,2006-08-16
