Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2011-12-13,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-14,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-15,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-16,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-19,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-20,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-21,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-22,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-23,U (Sep 12),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2012-09-19
2011-12-27,U (Sep 12),0.0,0.0,0.0,0.0,30.0,30.0,0,0,0,2012-09-19
2011-12-28,U (Sep 12),0.0,0.0,0.0,0.0,30.15,0.15,0,0,0,2012-09-19
2011-12-29,U (Sep 12),0.0,0.0,0.0,0.0,29.9,-0.25,0,0,0,2012-09-19
2011-12-30,U (Sep 12),0.0,0.0,0.0,0.0,29.95,0.05,0,0,0,2012-09-19
2012-01-03,U (Sep 12),0.0,0.0,0.0,0.0,29.3,-0.65,0,0,0,2012-09-19
2012-01-04,U (Sep 12),0.0,0.0,0.0,0.0,29.05,-0.25,0,0,0,2012-09-19
2012-01-05,U (Sep 12),0.0,0.0,0.0,0.0,29.55,0.5,0,0,0,2012-09-19
2012-01-06,U (Sep 12),0.0,0.0,0.0,0.0,28.35,-1.2,0,0,0,2012-09-19
2012-01-09,U (Sep 12),0.0,0.0,0.0,0.0,28.05,-0.3,0,0,0,2012-09-19
2012-01-10,U (Sep 12),0.0,0.0,0.0,0.0,28.2,0.15,0,0,0,2012-09-19
2012-01-11,U (Sep 12),27.59,27.88,27.59,27.88,28.25,0.05,2,0,0,2012-09-19
2012-01-12,U (Sep 12),28.14,28.15,28.14,28.15,28.6,0.35,2,0,2,2012-09-19
2012-01-13,U (Sep 12),28.75,28.79,28.5,28.7,28.65,0.05,4,0,3,2012-09-19
2012-01-17,U (Sep 12),28.25,28.25,28.25,28.25,28.85,0.2,1,0,4,2012-09-19
2012-01-18,U (Sep 12),28.9,28.95,28.45,28.45,28.55,-0.3,253,0,233,2012-09-19
2012-01-19,U (Sep 12),28.35,28.35,28.1,28.2,28.3,-0.25,67,0,280,2012-09-19
2012-01-20,U (Sep 12),28.25,28.25,27.8,27.9,28.0,-0.3,187,0,453,2012-09-19
2012-01-23,U (Sep 12),27.82,27.91,27.75,27.78,27.8,-0.2,45,0,459,2012-09-19
2012-01-24,U (Sep 12),27.83,27.85,27.75,27.75,27.8,0.0,26,0,467,2012-09-19
2012-01-25,U (Sep 12),27.82,27.95,27.47,27.47,27.55,-0.25,293,0,651,2012-09-19
2012-01-26,U (Sep 12),27.23,27.9,27.23,27.8,27.75,0.2,203,0,762,2012-09-19
2012-01-27,U (Sep 12),27.85,28.03,27.36,27.36,27.4,-0.35,259,0,953,2012-09-19
2012-01-30,U (Sep 12),27.65,27.8,27.59,27.6,27.75,0.35,57,0,975,2012-09-19
2012-01-31,U (Sep 12),27.39,27.9,27.24,27.9,27.9,0.15,340,0,1170,2012-09-19
2012-02-01,U (Sep 12),27.66,27.7,27.45,27.62,27.6,-0.3,118,0,1201,2012-09-19
2012-02-02,U (Sep 12),27.45,27.5,27.25,27.25,27.3,-0.3,32,0,1197,2012-09-19
2012-02-03,U (Sep 12),27.06,27.1,26.7,26.85,26.8,-0.5,82,0,1197,2012-09-19
2012-02-06,U (Sep 12),26.53,27.05,26.5,26.6,26.6,-0.2,91,0,1239,2012-09-19
2012-02-07,U (Sep 12),26.55,26.75,26.4,26.57,26.55,-0.05,47,0,1242,2012-09-19
2012-02-08,U (Sep 12),26.48,26.8,26.48,26.65,26.7,0.15,216,0,1332,2012-09-19
2012-02-09,U (Sep 12),26.62,27.4,26.62,27.4,27.4,0.7,134,0,1384,2012-09-19
2012-02-10,U (Sep 12),27.94,28.62,27.47,27.9,27.95,0.55,541,0,1702,2012-09-19
2012-02-13,U (Sep 12),27.45,27.69,27.3,27.6,27.6,-0.35,120,0,1677,2012-09-19
2012-02-14,U (Sep 12),27.6,28.62,27.6,28.13,28.2,0.6,545,0,1914,2012-09-19
2012-02-15,U (Sep 12),28.65,29.0,28.25,28.9,28.95,0.75,2301,0,2895,2012-09-19
2012-02-16,U (Sep 12),28.95,29.25,28.3,28.7,28.75,-0.2,743,0,3268,2012-09-19
2012-02-17,U (Sep 12),28.7,29.25,28.48,29.25,29.2,0.45,898,0,3198,2012-09-19
2012-02-21,U (Sep 12),29.23,29.65,28.85,29.45,29.5,0.3,1227,12,3719,2012-09-19
2012-02-22,U (Sep 12),29.5,29.57,28.8,28.94,28.95,-0.55,1177,5,4171,2012-09-19
2012-02-23,U (Sep 12),28.95,29.05,28.3,28.8,28.8,-0.15,1824,94,5369,2012-09-19
2012-02-24,U (Sep 12),28.6,29.46,28.5,29.35,29.4,0.6,1300,0,5794,2012-09-19
2012-02-27,U (Sep 12),29.6,29.8,29.15,29.65,29.65,0.25,2028,0,6755,2012-09-19
2012-02-28,U (Sep 12),29.65,29.71,29.15,29.2,29.2,-0.45,1754,58,7590,2012-09-19
2012-02-29,U (Sep 12),29.25,29.25,28.3,29.05,29.05,-0.15,3142,0,8532,2012-09-19
2012-03-01,U (Sep 12),28.8,29.05,28.2,28.4,28.4,-0.65,2975,0,9882,2012-09-19
