Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2007-04-20,V (Oct 07),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2007-10-17
2007-04-23,V (Oct 07),0.0,0.0,0.0,0.0,14.37,14.37,0,0,0,2007-10-17
2007-04-24,V (Oct 07),0.0,0.0,0.0,0.0,14.38,0.01,0,0,0,2007-10-17
2007-04-25,V (Oct 07),0.0,0.0,0.0,0.0,14.29,-0.09,0,0,0,2007-10-17
2007-04-26,V (Oct 07),0.0,0.0,0.0,0.0,14.31,0.02,0,0,0,2007-10-17
2007-04-27,V (Oct 07),0.0,0.0,0.0,0.0,14.31,0.0,0,0,0,2007-10-17
2007-04-30,V (Oct 07),0.0,0.0,0.0,0.0,14.24,-0.07,0,0,0,2007-10-17
2007-05-01,V (Oct 07),0.0,0.0,0.0,0.0,14.33,0.09,0,0,0,2007-10-17
2007-05-02,V (Oct 07),0.0,0.0,0.0,0.0,14.33,0.0,0,0,0,2007-10-17
2007-05-03,V (Oct 07),14.39,14.44,14.39,14.44,14.51,0.18,20,0,20,2007-10-17
2007-05-04,V (Oct 07),14.67,14.67,14.67,14.67,14.62,0.11,1,0,21,2007-10-17
2007-05-07,V (Oct 07),0.0,0.0,0.0,0.0,14.66,0.04,0,0,21,2007-10-17
2007-05-08,V (Oct 07),0.0,0.0,0.0,0.0,14.67,0.01,0,0,21,2007-10-17
2007-05-09,V (Oct 07),14.77,14.77,14.7,14.7,14.67,0.0,2,0,22,2007-10-17
2007-05-10,V (Oct 07),0.0,0.0,0.0,0.0,14.65,-0.02,0,0,22,2007-10-17
2007-05-11,V (Oct 07),14.75,14.75,14.75,14.75,14.64,-0.01,250,0,272,2007-10-17
2007-05-14,V (Oct 07),14.7,14.75,14.7,14.75,14.75,0.11,11,0,283,2007-10-17
2007-05-15,V (Oct 07),14.85,14.9,14.85,14.9,14.86,0.11,501,0,784,2007-10-17
2007-05-16,V (Oct 07),14.95,15.11,14.91,15.0,15.01,0.15,260,0,1043,2007-10-17
2007-05-17,V (Oct 07),15.08,15.08,15.08,15.08,15.02,0.01,5,0,1043,2007-10-17
2007-05-18,V (Oct 07),0.0,0.0,0.0,0.0,14.97,-0.05,0,0,1043,2007-10-17
2007-05-21,V (Oct 07),14.8,14.8,14.79,14.79,14.86,-0.11,3,0,1044,2007-10-17
2007-05-22,V (Oct 07),14.82,14.83,14.82,14.83,14.89,0.03,2,0,1051,2007-10-17
2007-05-23,V (Oct 07),14.85,14.85,14.85,14.85,14.78,-0.11,9,0,1051,2007-10-17
2007-05-24,V (Oct 07),14.89,15.11,14.89,15.1,15.08,0.3,107,0,1134,2007-10-17
2007-05-25,V (Oct 07),15.07,15.07,14.98,14.98,15.01,-0.07,2,0,1035,2007-10-17
2007-05-29,V (Oct 07),15.15,15.15,15.05,15.05,14.93,-0.08,12,0,1047,2007-10-17
2007-05-30,V (Oct 07),15.03,15.03,14.83,14.83,14.85,-0.08,16,0,1063,2007-10-17
2007-05-31,V (Oct 07),14.8,14.81,14.8,14.81,14.8,-0.05,60,0,1120,2007-10-17
2007-06-01,V (Oct 07),14.9,14.96,14.9,14.96,14.96,0.16,15,0,1135,2007-10-17
2007-06-04,V (Oct 07),15.05,15.07,15.05,15.07,15.04,0.08,63,0,1198,2007-10-17
2007-06-05,V (Oct 07),15.11,15.22,15.07,15.07,15.09,0.05,176,0,1282,2007-10-17
2007-06-06,V (Oct 07),15.19,15.29,15.16,15.16,15.18,0.09,149,0,1408,2007-10-17
