Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2006-03-08,X (Nov 06),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2006-11-15
2006-03-09,X (Nov 06),153.2,154.5,152.3,152.9,154.1,154.1,45,0,25,2006-11-15
2006-03-10,X (Nov 06),152.7,153.1,152.7,153.1,153.1,-1.0,4,0,9,2006-11-15
2006-03-13,X (Nov 06),154.0,154.0,154.0,154.0,153.7,0.6,1,0,9,2006-11-15
2006-03-14,X (Nov 06),153.9,153.9,153.9,153.9,153.0,-0.7,25,0,34,2006-11-15
2006-03-15,X (Nov 06),0.0,0.0,0.0,0.0,152.5,-0.5,0,0,54,2006-11-15
2006-03-16,X (Nov 06),153.4,154.1,153.0,154.1,153.4,0.9,35,0,83,2006-11-15
2006-03-17,X (Nov 06),0.0,0.0,0.0,0.0,153.2,-0.2,0,0,83,2006-11-15
2006-03-20,X (Nov 06),0.0,0.0,0.0,0.0,152.8,-0.4,0,0,84,2006-11-15
2006-03-21,X (Nov 06),153.0,153.5,152.2,152.2,152.4,-0.4,60,0,139,2006-11-15
2006-03-22,X (Nov 06),152.0,152.0,152.0,152.0,152.0,-0.4,5,0,144,2006-11-15
2006-03-23,X (Nov 06),151.8,151.9,151.8,151.9,151.3,-0.7,3,0,147,2006-11-15
2006-03-24,X (Nov 06),151.0,151.0,151.0,151.0,150.6,-0.7,5,0,152,2006-11-15
2006-03-27,X (Nov 06),150.0,150.0,150.0,150.0,150.3,-0.3,2,0,154,2006-11-15
2006-03-28,X (Nov 06),149.2,150.0,149.2,149.5,149.6,-0.7,12,0,171,2006-11-15
2006-03-29,X (Nov 06),148.6,149.3,148.6,149.3,149.1,-0.5,7,0,163,2006-11-15
2006-03-30,X (Nov 06),148.4,148.5,147.5,148.2,148.6,-0.5,23,0,167,2006-11-15
2006-03-31,X (Nov 06),147.8,148.0,147.5,147.5,147.4,-1.2,27,0,181,2006-11-15
2006-04-03,X (Nov 06),146.9,147.6,146.9,147.6,147.2,-0.2,38,0,205,2006-11-15
2006-04-04,X (Nov 06),147.0,147.0,147.0,147.0,146.4,-0.8,5,0,210,2006-11-15
