Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2008-01-18,Z (Dec 08),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2008-12-17
2008-01-22,Z (Dec 08),0.0,0.0,0.0,0.0,22.7,22.7,0,0,0,2008-12-17
2008-01-23,Z (Dec 08),0.0,0.0,0.0,0.0,25.25,2.55,0,0,0,2008-12-17
2008-01-24,Z (Dec 08),0.0,0.0,0.0,0.0,25.02,-0.23,0,0,0,2008-12-17
2008-01-25,Z (Dec 08),0.0,0.0,0.0,0.0,24.97,-0.05,0,0,0,2008-12-17
2008-01-28,Z (Dec 08),0.0,0.0,0.0,0.0,24.79,-0.18,0,0,0,2008-12-17
2008-01-29,Z (Dec 08),0.0,0.0,0.0,0.0,24.55,-0.24,0,0,0,2008-12-17
2008-01-30,Z (Dec 08),23.97,23.97,23.97,23.97,24.37,-0.18,5,0,5,2008-12-17
2008-01-31,Z (Dec 08),0.0,0.0,0.0,0.0,23.1,-1.27,0,0,5,2008-12-17
2008-02-01,Z (Dec 08),0.0,0.0,0.0,0.0,23.61,0.51,0,0,5,2008-12-17
2008-02-04,Z (Dec 08),0.0,0.0,0.0,0.0,23.88,0.27,0,0,5,2008-12-17
2008-02-05,Z (Dec 08),0.0,0.0,0.0,0.0,24.48,0.6,0,0,5,2008-12-17
2008-02-06,Z (Dec 08),22.94,23.75,22.94,23.75,25.23,0.75,24,0,20,2008-12-17
2008-02-07,Z (Dec 08),0.0,0.0,0.0,0.0,24.7,-0.53,0,0,15,2008-12-17
2008-02-08,Z (Dec 08),0.0,0.0,0.0,0.0,25.17,0.47,0,0,15,2008-12-17
2008-02-11,Z (Dec 08),0.0,0.0,0.0,0.0,24.74,-0.43,0,0,15,2008-12-17
2008-02-12,Z (Dec 08),0.0,0.0,0.0,0.0,24.82,0.08,0,0,15,2008-12-17
2008-02-13,Z (Dec 08),0.0,0.0,0.0,0.0,24.14,-0.68,0,0,15,2008-12-17
2008-02-14,Z (Dec 08),0.0,0.0,0.0,0.0,24.38,0.24,0,0,15,2008-12-17
2008-02-15,Z (Dec 08),24.5,24.5,24.5,24.5,24.41,0.03,1,0,16,2008-12-17
2008-02-19,Z (Dec 08),0.0,0.0,0.0,0.0,24.18,-0.23,0,0,16,2008-12-17
2008-02-20,Z (Dec 08),0.0,0.0,0.0,0.0,24.64,0.46,0,0,16,2008-12-17
2008-02-21,Z (Dec 08),24.5,24.5,24.5,24.5,24.13,-0.51,4,0,19,2008-12-17
2008-02-22,Z (Dec 08),22.71,22.71,22.71,22.71,24.14,0.01,25,0,42,2008-12-17
2008-02-25,Z (Dec 08),0.0,0.0,0.0,0.0,23.9,-0.24,0,0,42,2008-12-17
2008-02-26,Z (Dec 08),24.3,24.3,23.31,23.5,23.5,-0.4,82,0,123,2008-12-17
2008-02-27,Z (Dec 08),23.5,23.5,23.5,23.5,23.54,0.04,5,0,128,2008-12-17
2008-02-28,Z (Dec 08),23.89,24.25,23.89,24.25,24.16,0.62,2,0,128,2008-12-17
2008-02-29,Z (Dec 08),0.0,0.0,0.0,0.0,24.63,0.47,0,0,127,2008-12-17
2008-03-03,Z (Dec 08),0.0,0.0,0.0,0.0,24.24,-0.39,0,0,126,2008-12-17
2008-03-04,Z (Dec 08),0.0,0.0,0.0,0.0,24.4,0.16,0,0,126,2008-12-17
2008-03-05,Z (Dec 08),0.0,0.0,0.0,0.0,23.88,-0.52,0,0,126,2008-12-17
2008-03-06,Z (Dec 08),0.0,0.0,0.0,0.0,25.3,1.42,0,0,126,2008-12-17
2008-03-07,Z (Dec 08),25.84,25.84,24.75,24.75,24.71,-0.59,74,0,146,2008-12-17
2008-03-10,Z (Dec 08),25.5,25.57,25.5,25.57,25.38,0.67,61,0,143,2008-12-17
2008-03-11,Z (Dec 08),25.25,25.25,24.4,24.4,24.0,-1.38,37,0,178,2008-12-17
2008-03-12,Z (Dec 08),24.65,24.85,24.55,24.85,24.82,0.82,3,0,180,2008-12-17
2008-03-13,Z (Dec 08),25.65,25.65,25.25,25.25,24.93,0.11,9,0,187,2008-12-17
2008-03-14,Z (Dec 08),0.0,0.0,0.0,0.0,25.96,1.03,0,0,187,2008-12-17
2008-03-17,Z (Dec 08),25.75,25.75,25.75,25.75,25.05,-0.91,1,0,187,2008-12-17
2008-03-18,Z (Dec 08),25.03,25.03,24.63,24.63,24.65,-0.4,4,0,191,2008-12-17
2008-03-19,Z (Dec 08),24.44,25.55,24.44,25.02,25.38,0.73,52,0,241,2008-12-17
2008-03-20,Z (Dec 08),24.82,25.0,24.8,24.8,24.98,-0.4,524,0,763,2008-12-17
2008-03-24,Z (Dec 08),0.0,0.0,0.0,0.0,24.44,-0.54,0,0,763,2008-12-17
2008-03-25,Z (Dec 08),0.0,0.0,0.0,0.0,24.38,-0.06,0,0,763,2008-12-17
2008-03-26,Z (Dec 08),0.0,0.0,0.0,0.0,24.9,0.52,0,0,763,2008-12-17
2008-03-27,Z (Dec 08),25.04,25.04,24.24,24.24,24.58,-0.32,2,0,763,2008-12-17
2008-03-28,Z (Dec 08),0.0,0.0,0.0,0.0,24.65,0.07,0,0,763,2008-12-17
2008-03-31,Z (Dec 08),25.1,25.1,24.6,24.6,24.92,0.27,68,0,793,2008-12-17
2008-04-01,Z (Dec 08),24.22,24.22,24.02,24.02,23.94,-0.98,193,0,911,2008-12-17
2008-04-02,Z (Dec 08),25.74,25.74,23.7,24.18,23.72,-0.22,6,0,820,2008-12-17
2008-04-03,Z (Dec 08),24.25,24.25,24.15,24.15,24.03,0.31,2,0,820,2008-12-17
2008-04-04,Z (Dec 08),0.0,0.0,0.0,0.0,23.92,-0.11,0,0,820,2008-12-17
2008-04-07,Z (Dec 08),24.15,24.15,23.3,23.3,23.74,-0.18,5,0,822,2008-12-17
2008-04-08,Z (Dec 08),23.86,24.0,23.7,24.0,24.1,0.36,158,0,976,2008-12-17
2008-04-09,Z (Dec 08),24.08,24.42,24.08,24.21,24.32,0.22,27,0,924,2008-12-17
2008-04-10,Z (Dec 08),24.96,24.96,24.15,24.15,23.85,-0.47,5,0,924,2008-12-17
2008-04-11,Z (Dec 08),24.56,24.95,24.12,24.5,24.58,0.73,148,0,1031,2008-12-17
2008-04-14,Z (Dec 08),24.9,24.9,24.9,24.9,24.48,-0.1,100,0,1085,2008-12-17
2008-04-15,Z (Dec 08),25.08,25.08,24.1,24.1,24.14,-0.34,7,0,1091,2008-12-17
