Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2023-12-26,U (Sep 2024),0.0,17.5,35.0,0.0,18.625,0.0,0,0,0,2024-09-18
2023-12-27,U (Sep 2024),19.0,19.0,19.0,19.0,18.625,0.0,1,0,1,2024-09-18
2023-12-28,U (Sep 2024),0.0,18.45,18.7,0.0,18.575,-0.05,0,0,1,2024-09-18
2023-12-29,U (Sep 2024),0.0,18.35,18.95,0.0,18.65,0.075,0,0,1,2024-09-18
2024-01-02,U (Sep 2024),0.0,18.55,18.8,0.0,18.6,-0.05,0,0,1,2024-09-18
2024-01-03,U (Sep 2024),0.0,18.7,18.9,0.0,18.875,0.275,0,0,1,2024-09-18
2024-01-04,U (Sep 2024),18.65,18.7,18.65,18.65,18.825,-0.05,3,0,3,2024-09-18
2024-01-05,U (Sep 2024),0.0,18.7,18.95,0.0,18.575,-0.25,0,0,3,2024-09-18
2024-01-08,U (Sep 2024),18.1,18.1,18.1,18.1,18.325,-0.25,3,0,5,2024-09-18
2024-01-09,U (Sep 2024),18.0,18.1,18.0,18.0,17.975,-0.35,1,0,6,2024-09-18
2024-01-10,U (Sep 2024),17.65,17.8,17.65,17.75,17.825,-0.15,3,0,9,2024-09-18
2024-01-11,U (Sep 2024),17.5,17.95,17.5,17.9,17.875,0.05,19,0,26,2024-09-18
2024-01-12,U (Sep 2024),17.66,17.7,17.55,17.55,17.825,-0.05,2,0,27,2024-09-18
2024-01-16,U (Sep 2024),0.0,18.15,18.2,0.0,18.275,0.45,0,0,27,2024-09-18
2024-01-17,U (Sep 2024),18.4,18.65,18.35,18.39,18.4,0.125,65,0,91,2024-09-18
2024-01-18,U (Sep 2024),18.35,18.4,18.15,18.15,18.125,-0.275,104,0,137,2024-09-18
2024-01-19,U (Sep 2024),18.05,18.05,17.8,17.8,17.825,-0.3,83,0,179,2024-09-18
2024-01-22,U (Sep 2024),17.8,17.8,17.55,17.6,17.575,-0.25,44,0,214,2024-09-18
2024-01-23,U (Sep 2024),17.5,17.75,17.35,17.4,17.4,-0.175,1534,0,1565,2024-09-18
2024-01-24,U (Sep 2024),17.33,17.5,17.3,17.44,17.45,0.05,713,0,2074,2024-09-18
2024-01-25,U (Sep 2024),17.4,17.56,17.34,17.52,17.525,0.075,897,0,2793,2024-09-18
2024-01-26,U (Sep 2024),17.55,17.66,17.4,17.4,17.45,-0.075,715,0,3248,2024-09-18
