Date,M1_Price,M2_Price,M1_Expiration,M2_Expiration,M1_DTE,M2_DTE,VIX_Close,Term_Structure_Ratio_1_0,Term_Structure_Slope_2_1
2006-01-03,12.02,13.88,2006-01-18,2006-02-15,15,43,11.14,1.0789946140035906,1.8600000000000012
2006-01-04,11.84,13.84,2006-01-18,2006-02-15,14,42,11.37,1.0413368513632366,2.0
2006-01-05,11.83,13.73,2006-01-18,2006-02-15,13,41,11.31,1.0459770114942528,1.9000000000000004
2006-01-06,11.559999999999999,13.530000000000001,2006-01-18,2006-02-15,12,40,11.0,1.0509090909090908,1.9700000000000024
2006-01-09,11.33,13.290000000000001,2006-01-18,2006-02-15,9,37,11.13,1.017969451931716,1.9600000000000009
2006-01-10,11.22,13.040000000000001,2006-01-18,2006-02-15,8,36,10.86,1.0331491712707184,1.8200000000000003
2006-01-11,11.190000000000001,12.84,2006-01-18,2006-02-15,7,35,10.94,1.0228519195612433,1.6499999999999986
2006-01-12,11.3,12.99,2006-01-18,2006-02-15,6,34,11.2,1.0089285714285716,1.6899999999999995
2006-01-13,11.32,12.95,2006-01-18,2006-02-15,5,33,11.23,1.0080142475512022,1.629999999999999
2006-01-17,11.709999999999999,13.09,2006-01-18,2006-02-15,1,29,11.91,0.9832073887489504,1.3800000000000008
2006-01-18,13.27,15.180000000000001,2006-02-15,2006-05-17,28,119,12.25,1.0832653061224489,1.910000000000002
2006-01-19,13.11,15.09,2006-02-15,2006-05-17,27,118,11.98,1.0943238731218696,1.9800000000000004
2006-01-23,13.74,14.280000000000001,2006-02-15,2006-03-22,23,58,13.93,0.9863603732950467,0.5400000000000009
2006-01-24,13.559999999999999,14.02,2006-02-15,2006-03-22,22,57,13.31,1.0187828700225392,0.46000000000000085
2006-01-25,13.319999999999999,13.819999999999999,2006-02-15,2006-03-22,21,56,12.87,1.034965034965035,0.5
2006-01-26,12.919999999999998,13.680000000000001,2006-02-15,2006-03-22,20,55,12.42,1.040257648953301,0.7600000000000033
2006-01-27,12.72,13.35,2006-02-15,2006-03-22,19,54,11.97,1.06265664160401,0.629999999999999
2006-01-30,12.53,13.209999999999999,2006-02-15,2006-03-22,16,51,12.39,1.0112994350282485,0.6799999999999997
2006-01-31,12.7,13.190000000000001,2006-02-15,2006-03-22,15,50,12.95,0.9806949806949807,0.490000000000002
2006-02-01,12.66,13.14,2006-02-15,2006-03-22,14,49,12.36,1.0242718446601942,0.4800000000000004
2006-02-02,12.86,13.23,2006-02-15,2006-03-22,13,48,13.23,0.9720332577475433,0.370000000000001
2006-02-03,12.87,13.169999999999998,2006-02-15,2006-03-22,12,47,12.96,0.9930555555555555,0.29999999999999893
2006-02-06,12.8,13.23,2006-02-15,2006-03-22,9,44,13.04,0.98159509202454,0.4299999999999997
2006-02-07,13.02,13.290000000000001,2006-02-15,2006-03-22,8,43,13.59,0.9580573951434879,0.27000000000000135
